method,budget_ratio,success,comm_cost,ce,collision
gat,1.0,0.2129,44.1372,0.004823,0.0215
gat,0.75,0.1914,39.6465,0.004828,0.0234
gat,0.5,0.1816,26.1694,0.006941,0.042
gat,0.25,0.168,17.53,0.009582,0.0234
gat,0.1,0.1689,14.9445,0.011305,0.0137
dsgf,1.0,0.2168,40.2852,0.005382,0.0117
dsgf,0.75,0.2109,37.6168,0.005608,0.0059
dsgf,0.5,0.2158,24.6298,0.008763,0.0117
dsgf,0.25,0.2031,17.0391,0.011921,0.0117
dsgf,0.1,0.2168,14.9783,0.014474,0.0137
ac_dsgf,1.0,0.2705,0.0081,33.501789,0.0195
ac_dsgf,0.75,0.2695,0.0074,36.335652,0.0098
ac_dsgf,0.5,0.252,0.0054,46.750733,0.0059
ac_dsgf,0.25,0.2725,0.0039,69.35243,0.0117
ac_dsgf,0.1,0.2422,0.0036,67.284686,0.0156
