source,N,budget_type,K,ratio,seed,avg_degree,avg_k_cap,degree_std,degree_error_vs_K,degree_error_vs_cap,degree_p50,degree_p95
encoder,8,fixed_k,1,,1234,0.7590625,0.7590625,0.1618855570881788,0.24093750000000003,0.0,1.0,1.0
encoder,8,fixed_k,2,,1234,1.2078125,1.2078125,0.36408261746992265,0.7921875,0.0,1.0,2.0
encoder,8,fixed_k,4,,1234,1.2475,1.2475,0.5255889553634094,2.7525,0.0,1.0,3.0
encoder,8,fixed_k,6,,1234,1.31,1.31,0.5188569166928393,4.6899999999999995,0.0,1.0,3.0
encoder,8,fixed_k,8,,1234,1.2875,1.2875,0.5583177858531824,6.7125,0.0,1.0,3.0
encoder,8,ratio,,0.05,1234,0.7840625,1.0,0.18908677530105059,,0.2159375,1.0,1.0
encoder,8,ratio,,0.1,1234,0.760625,1.0,0.1652543021376448,,0.239375,1.0,1.0
encoder,8,ratio,,0.2,1234,0.6859375,1.0,0.1980310798681611,,0.3140625,1.0,1.0
encoder,8,ratio,,0.4,1234,0.845,1.13875,0.2694728650532368,,0.29374999999999996,1.0,2.0
encoder,16,fixed_k,1,,1234,0.77578125,0.77578125,0.13269066102570107,0.22421875000000002,0.0,1.0,1.0
encoder,16,fixed_k,2,,1234,1.1815625,1.1815625,0.29292420494685995,0.8184374999999999,0.0,1.0,2.0
encoder,16,fixed_k,4,,1234,1.35625,1.35625,0.4879204917299539,2.64375,0.0,1.0,4.0
encoder,16,fixed_k,6,,1234,1.5071875,1.5071875,0.673904710321682,4.4928125,0.0,1.0,4.0
encoder,16,fixed_k,8,,1234,1.3584375,1.3584375,0.4114559467230362,6.6415625,0.0,1.0,3.0
encoder,16,ratio,,0.05,1234,0.73390625,1.0,0.12517478015134478,,0.26609375,1.0,1.0
encoder,16,ratio,,0.1,1234,0.7475,1.0,0.1454169651381846,,0.25249999999999995,1.0,1.0
encoder,16,ratio,,0.2,1234,0.76546875,1.0046875,0.13156574743616783,,0.23921874999999992,1.0,1.0
encoder,16,ratio,,0.4,1234,0.85609375,1.12921875,0.26388025330808196,,0.27312499999999995,1.0,2.0
encoder,32,fixed_k,1,,1234,0.742890625,0.742890625,0.08089310890526692,0.257109375,0.0,1.0,1.0
encoder,32,fixed_k,2,,1234,1.14015625,1.14015625,0.17096284946864188,0.85984375,0.0,1.0,2.0
encoder,32,fixed_k,4,,1234,1.3428125,1.3428125,0.26732744872861447,2.6571875,0.0,1.0,3.0
encoder,32,fixed_k,6,,1234,1.359921875,1.359921875,0.29872727056252224,4.6400781250000005,0.0,1.0,4.0
encoder,32,fixed_k,8,,1234,1.360625,1.360625,0.31085253236060345,6.639375,0.0,1.0,4.0
encoder,32,ratio,,0.05,1234,0.747421875,1.0,0.08215061999300051,,0.252578125,1.0,1.0
encoder,32,ratio,,0.1,1234,0.7465625,1.0,0.08599657060749574,,0.2534375,1.0,1.0
encoder,32,ratio,,0.2,1234,0.74203125,1.002109375,0.08705228650608496,,0.26007812500000005,1.0,1.0
encoder,32,ratio,,0.4,1234,0.9075,1.16140625,0.15085498520930624,,0.25390625,1.0,2.0
encoder,64,fixed_k,1,,1234,0.7189453125,0.7189453125,0.06430469414408907,0.28105468749999996,0.0,1.0,1.0
encoder,64,fixed_k,2,,1234,1.0862109375,1.0862109375,0.11766018601276557,0.9137890625,0.0,1.0,2.0
encoder,64,fixed_k,4,,1234,1.2657421875,1.2657421875,0.18845294541152002,2.7342578125,0.0,1.0,3.0
encoder,64,fixed_k,6,,1234,1.2714453125,1.2714453125,0.20725886293977838,4.7285546875,0.0,1.0,3.0
encoder,64,fixed_k,8,,1234,1.296484375,1.296484375,0.21004985399211631,6.703515625,0.0,1.0,3.0
encoder,64,ratio,,0.05,1234,0.7239453125,1.0,0.057890453672992094,,0.27605468749999995,1.0,1.0
encoder,64,ratio,,0.1,1234,0.718359375,1.0,0.06229335956973564,,0.281640625,1.0,1.0
encoder,64,ratio,,0.2,1234,0.721328125,1.0024609375,0.0629723847431108,,0.2811328125,1.0,1.0
encoder,64,ratio,,0.4,1234,0.86890625,1.1460546875,0.10816055683421522,,0.27714843749999996,1.0,2.0
