factor,method,display,seed,p_loss,delay_ms,delay_steps,bandwidth,reward,success,C,C_eff,E_mean,epsilon_G
loss,ac_dsgf,AC-DSGF,1234,0.0,0,0,,9.307289178716019,0.30078125,42.7109375,42.7109375,42.7109375,nan
loss,ac_dsgf,AC-DSGF,1234,0.1,0,0,,9.971194692887366,0.3203125,38.22119140625,34.399072265625,38.22119140625,nan
loss,ac_dsgf,AC-DSGF,1234,0.3,0,0,,10.422204360016622,0.25390625,33.78173828125,23.647216796875,33.78173828125,nan
loss,ac_dsgf,AC-DSGF,1234,0.5,0,0,,9.71835374517832,0.30078125,22.8193359375,11.40966796875,22.8193359375,nan
delay,ac_dsgf,AC-DSGF,1234,0.0,0,0,,10.088475303724408,0.30078125,44.4345703125,44.4345703125,44.4345703125,nan
delay,ac_dsgf,AC-DSGF,1234,0.0,20,1,,9.42773932009004,0.359375,41.658203125,41.658203125,41.658203125,nan
delay,ac_dsgf,AC-DSGF,1234,0.0,50,2,,9.835108295781538,0.3125,43.0322265625,43.0322265625,43.0322265625,nan
delay,ac_dsgf,AC-DSGF,1234,0.0,100,4,,9.61950818519108,0.29296875,44.0244140625,44.0244140625,44.0244140625,nan
bandwidth,ac_dsgf,AC-DSGF,1234,0.0,0,0,0.1,10.150989128509536,0.30859375,15.2109375,15.2109375,15.2109375,nan
bandwidth,ac_dsgf,AC-DSGF,1234,0.0,0,0,0.2,9.97301860107109,0.32421875,15.78955078125,15.78955078125,15.78955078125,nan
bandwidth,ac_dsgf,AC-DSGF,1234,0.0,0,0,0.4,10.073012110660784,0.32421875,24.5703125,24.5703125,24.5703125,nan
bandwidth,ac_dsgf,AC-DSGF,1234,0.0,0,0,0.8,9.670635688817129,0.2734375,42.61279296875,42.61279296875,42.61279296875,nan
loss,ac_dsgf,AC-DSGF,2026,0.0,0,0,,7.761773539590649,0.21484375,42.6142578125,42.6142578125,42.6142578125,nan
loss,ac_dsgf,AC-DSGF,2026,0.1,0,0,,7.996372871333733,0.19140625,38.29931640625,34.469384765625,38.29931640625,nan
loss,ac_dsgf,AC-DSGF,2026,0.3,0,0,,7.804942714748904,0.1640625,29.8193359375,20.87353515625,29.8193359375,nan
loss,ac_dsgf,AC-DSGF,2026,0.5,0,0,,8.287627990241162,0.17578125,21.5,10.75,21.5,nan
delay,ac_dsgf,AC-DSGF,2026,0.0,0,0,,7.8908596084220335,0.1796875,43.361328125,43.361328125,43.361328125,nan
delay,ac_dsgf,AC-DSGF,2026,0.0,20,1,,7.811637234641239,0.17578125,42.0986328125,42.0986328125,42.0986328125,nan
delay,ac_dsgf,AC-DSGF,2026,0.0,50,2,,8.695032112067565,0.19140625,43.619140625,43.619140625,43.619140625,nan
delay,ac_dsgf,AC-DSGF,2026,0.0,100,4,,8.016046005301178,0.1875,39.587890625,39.587890625,39.587890625,nan
bandwidth,ac_dsgf,AC-DSGF,2026,0.0,0,0,0.1,8.097849437734112,0.171875,15.408203125,15.408203125,15.408203125,nan
bandwidth,ac_dsgf,AC-DSGF,2026,0.0,0,0,0.2,7.590111099299975,0.1328125,15.6923828125,15.6923828125,15.6923828125,nan
bandwidth,ac_dsgf,AC-DSGF,2026,0.0,0,0,0.4,8.244891643174924,0.19140625,23.6826171875,23.6826171875,23.6826171875,nan
bandwidth,ac_dsgf,AC-DSGF,2026,0.0,0,0,0.8,7.913613210024778,0.16015625,40.6943359375,40.6943359375,40.6943359375,nan
loss,ac_dsgf,AC-DSGF,3407,0.0,0,0,,8.290961671969853,0.25390625,44.5751953125,44.5751953125,44.5751953125,nan
loss,ac_dsgf,AC-DSGF,3407,0.1,0,0,,8.5752196025569,0.203125,39.09521484375,35.185693359375,39.09521484375,nan
loss,ac_dsgf,AC-DSGF,3407,0.3,0,0,,8.93114351364784,0.21484375,30.755859375,21.5291015625,30.755859375,nan
loss,ac_dsgf,AC-DSGF,3407,0.5,0,0,,9.068697619251907,0.1953125,22.32177734375,11.160888671875,22.32177734375,nan
delay,ac_dsgf,AC-DSGF,3407,0.0,0,0,,9.175678408471867,0.19140625,43.048828125,43.048828125,43.048828125,nan
delay,ac_dsgf,AC-DSGF,3407,0.0,20,1,,8.040433214977384,0.21484375,43.43359375,43.43359375,43.43359375,nan
delay,ac_dsgf,AC-DSGF,3407,0.0,50,2,,9.456349100335501,0.2109375,44.716796875,44.716796875,44.716796875,nan
delay,ac_dsgf,AC-DSGF,3407,0.0,100,4,,8.407818166539073,0.19140625,44.5654296875,44.5654296875,44.5654296875,nan
bandwidth,ac_dsgf,AC-DSGF,3407,0.0,0,0,0.1,9.010322391521186,0.2109375,14.9775390625,14.9775390625,14.9775390625,nan
bandwidth,ac_dsgf,AC-DSGF,3407,0.0,0,0,0.2,8.758721603546292,0.23046875,16.05126953125,16.05126953125,16.05126953125,nan
bandwidth,ac_dsgf,AC-DSGF,3407,0.0,0,0,0.4,8.866903232992627,0.2578125,24.62939453125,24.62939453125,24.62939453125,nan
bandwidth,ac_dsgf,AC-DSGF,3407,0.0,0,0,0.8,8.129704012768343,0.21875,43.47607421875,43.47607421875,43.47607421875,nan
loss,ac_dsgf,AC-DSGF,42,0.0,0,0,,9.909526517149061,0.265625,42.8671875,42.8671875,42.8671875,nan
loss,ac_dsgf,AC-DSGF,42,0.1,0,0,,9.78601444629021,0.23828125,36.83056640625,33.147509765625,36.83056640625,nan
loss,ac_dsgf,AC-DSGF,42,0.3,0,0,,9.46903235616628,0.2578125,29.63525390625,20.744677734375,29.63525390625,nan
loss,ac_dsgf,AC-DSGF,42,0.5,0,0,,9.684215040295385,0.25390625,20.54150390625,10.270751953125,20.54150390625,nan
delay,ac_dsgf,AC-DSGF,42,0.0,0,0,,10.358785834396258,0.25,42.8095703125,42.8095703125,42.8095703125,nan
delay,ac_dsgf,AC-DSGF,42,0.0,20,1,,9.657823586720042,0.2421875,40.71875,40.71875,40.71875,nan
delay,ac_dsgf,AC-DSGF,42,0.0,50,2,,9.91421294095926,0.27734375,41.716796875,41.716796875,41.716796875,nan
delay,ac_dsgf,AC-DSGF,42,0.0,100,4,,9.872465666616336,0.2578125,39.9873046875,39.9873046875,39.9873046875,nan
