source,N,budget_type,K,ratio,seed,eval_mode,avg_degree,avg_k_cap,degree_error_vs_K,degree_error_vs_cap,edge_density,Vmax,violation_rate,n_steps
synthetic,8,fixed_k,1,,-1,synthetic,0.9912109375,0.9912109375,0.0087890625,0.0,0.14160156762227416,0.0,0.0,64
synthetic,8,fixed_k,2,,-1,synthetic,1.9306640625,1.9306640625,0.0693359375,0.0,0.27580915903672576,0.0,0.0,64
synthetic,8,fixed_k,4,,-1,synthetic,3.1845703125,3.1845703125,0.8154296875,0.0,0.45493861427530646,0.0,0.0,64
synthetic,8,fixed_k,6,,-1,synthetic,3.4775390625,3.4775390625,2.5224609375,0.0,0.4967912919819355,0.0,0.0,64
synthetic,8,fixed_k,8,,-1,synthetic,3.509765625,3.509765625,4.490234375,0.0,0.5013950872235,0.0,0.0,64
synthetic,8,ratio,,0.05,-1,synthetic,0.9931640625,1.0,,0.0068359375,0.14188058557920158,0.0,0.0,64
synthetic,8,ratio,,0.1,-1,synthetic,0.9970703125,1.0,,0.0029296875,0.1424386219587177,0.0,0.0,64
synthetic,8,ratio,,0.2,-1,synthetic,1.068359375,1.0751953125,,0.0068359375,0.15262277168221772,0.0,0.0,64
synthetic,8,ratio,,0.4,-1,synthetic,1.8505859375,1.859375,,0.0087890625,0.26436941884458065,0.0,0.0,64
synthetic,16,fixed_k,1,,-1,synthetic,1.0,1.0,0.0,0.0,0.06666667014360428,0.0,0.0,64
synthetic,16,fixed_k,2,,-1,synthetic,1.99951171875,1.99951171875,0.00048828125,0.0,0.13330078800208867,0.0,0.0,64
synthetic,16,fixed_k,4,,-1,synthetic,3.97607421875,3.97607421875,0.02392578125,0.0,0.26507162442430854,0.0,0.0,64
synthetic,16,fixed_k,6,,-1,synthetic,5.76416015625,5.76416015625,0.23583984375,0.0,0.38427734375,0.0,0.0,64
synthetic,16,fixed_k,8,,-1,synthetic,6.96142578125,6.96142578125,1.03857421875,0.0,0.464095049072057,0.0,0.0,64
synthetic,16,ratio,,0.05,-1,synthetic,1.0,1.0,,0.0,0.06666667014360428,0.0,0.0,64
synthetic,16,ratio,,0.1,-1,synthetic,1.0537109375,1.0537109375,,0.0,0.07024739857297391,0.0,0.0,64
synthetic,16,ratio,,0.2,-1,synthetic,1.93603515625,1.93603515625,,0.0,0.12906900944653898,0.0,0.0,64
synthetic,16,ratio,,0.4,-1,synthetic,3.41943359375,3.41943359375,,0.0,0.22796223824843764,0.0,0.0,64
synthetic,32,fixed_k,1,,-1,synthetic,1.0,1.0,0.0,0.0,0.032258063554763794,0.0,0.0,64
synthetic,32,fixed_k,2,,-1,synthetic,2.0,2.0,0.0,0.0,0.06451612710952759,0.0,0.0,64
synthetic,32,fixed_k,4,,-1,synthetic,4.0,4.0,0.0,0.0,0.12903225421905518,0.0,0.0,64
synthetic,32,fixed_k,6,,-1,synthetic,6.0,6.0,0.0,0.0,0.19354838132858276,0.0,0.0,64
synthetic,32,fixed_k,8,,-1,synthetic,7.997802734375,7.997802734375,0.002197265625,0.0,0.25799362966790795,0.0,0.0,64
synthetic,32,ratio,,0.05,-1,synthetic,1.031494140625,1.031494140625,,0.0,0.03327400441048667,0.0,0.0,64
synthetic,32,ratio,,0.1,-1,synthetic,2.00146484375,2.00146484375,,0.0,0.0645633804379031,0.0,0.0,64
synthetic,32,ratio,,0.2,-1,synthetic,3.494140625,3.494140625,,0.0,0.11271421192213893,0.0,0.0,64
synthetic,32,ratio,,0.4,-1,synthetic,6.586669921875,6.586669921875,,0.0,0.2124732225202024,0.0,0.0,64
synthetic,64,fixed_k,1,,-1,synthetic,1.0,1.0,0.0,0.0,0.01587301678955555,0.0,0.0,64
synthetic,64,fixed_k,2,,-1,synthetic,2.0,2.0,0.0,0.0,0.0317460335791111,0.0,0.0,64
synthetic,64,fixed_k,4,,-1,synthetic,4.0,4.0,0.0,0.0,0.0634920671582222,0.0,0.0,64
synthetic,64,fixed_k,6,,-1,synthetic,6.0,6.0,0.0,0.0,0.095238097012043,0.0,0.0,64
synthetic,64,fixed_k,8,,-1,synthetic,8.0,8.0,0.0,0.0,0.1269841343164444,0.0,0.0,64
synthetic,64,ratio,,0.05,-1,synthetic,2.0107421875,2.0107421875,,0.0,0.031916543550323695,0.0,0.0,64
synthetic,64,ratio,,0.1,-1,synthetic,3.6041259765625,3.6041259765625,,0.0,0.05720834864769131,0.0,0.0,64
synthetic,64,ratio,,0.2,-1,synthetic,6.69677734375,6.69677734375,,0.0,0.10629805200733244,0.0,0.0,64
synthetic,64,ratio,,0.4,-1,synthetic,12.9803466796875,12.9803466796875,,0.0,0.20603724848479033,0.0,0.0,64
encoder,8,fixed_k,1,,1234,env,0.7590625,0.7590625,0.24093750000000003,0.0,0.10843750488013029,0.0,0.0,400
encoder,8,fixed_k,2,,1234,env,1.2078125,1.2078125,0.7921875,0.0,0.17254465240053832,0.0,0.0,400
encoder,8,fixed_k,4,,1234,env,1.2475,1.2475,2.7525,0.0,0.1782142925914377,0.0,0.0,400
encoder,8,fixed_k,6,,1234,env,1.31,1.31,4.6899999999999995,0.0,0.18714286489412188,0.0,0.0,400
encoder,8,fixed_k,8,,1234,env,1.2875,1.2875,6.7125,0.0,0.18392857993021608,0.0,0.0,400
encoder,8,ratio,,0.05,1234,env,0.7840625,1.0,,0.2159375,0.11200893280096352,0.0,0.0,400
encoder,8,ratio,,0.1,1234,env,0.760625,1.0,,0.239375,0.10866071966476738,0.0,0.0,400
encoder,8,ratio,,0.2,1234,env,0.6859375,1.0,,0.3140625,0.09799107477068901,0.0,0.0,400
encoder,8,ratio,,0.4,1234,env,0.845,1.13875,,0.29374999999999996,0.1207142910733819,0.0,0.0,400
encoder,16,fixed_k,1,,1234,env,0.77578125,0.77578125,0.22421875000000002,0.0,0.05171875286847353,0.0,0.0,400
encoder,16,fixed_k,2,,1234,env,1.1815625,1.1815625,0.8184374999999999,0.0,0.0787708377186209,0.0,0.0,400
encoder,16,fixed_k,4,,1234,env,1.35625,1.35625,2.64375,0.0,0.09041667173616588,0.0,0.0,400
encoder,16,fixed_k,6,,1234,env,1.5071875,1.5071875,4.4928125,0.0,0.10047917212359607,0.0,0.0,400
encoder,16,fixed_k,8,,1234,env,1.3584375,1.3584375,6.6415625,0.0,0.09056250458583236,0.0,0.0,400
encoder,16,ratio,,0.05,1234,env,0.73390625,1.0,,0.26609375,0.04892708588391542,0.0,0.0,400
encoder,16,ratio,,0.1,1234,env,0.7475,1.0,,0.25249999999999995,0.049833336155861614,0.0,0.0,400
encoder,16,ratio,,0.2,1234,env,0.76546875,1.0046875,,0.23921874999999992,0.05103125269524753,0.0,0.0,400
encoder,16,ratio,,0.4,1234,env,0.85609375,1.12921875,,0.27312499999999995,0.057072919788770375,0.0,0.0,400
encoder,32,fixed_k,1,,1234,geom,0.742890625,0.742890625,0.257109375,0.0,0.02396421299315989,0.0,0.0,400
encoder,32,fixed_k,2,,1234,geom,1.14015625,1.14015625,0.85984375,0.0,0.03677923278417438,0.0,0.0,400
encoder,32,fixed_k,4,,1234,geom,1.3428125,1.3428125,2.6571875,0.0,0.043316530929878354,0.0,0.0,400
encoder,32,fixed_k,6,,1234,geom,1.359921875,1.359921875,4.6400781250000005,0.0,0.04386844616383314,0.0,0.0,400
encoder,32,fixed_k,8,,1234,geom,1.360625,1.360625,6.639375,0.0,0.043891127659007906,0.0,0.0,400
encoder,32,ratio,,0.05,1234,geom,0.747421875,1.0,,0.252578125,0.024110382343642413,0.0,0.0,400
encoder,32,ratio,,0.1,1234,geom,0.7465625,1.0,,0.2534375,0.024082660551648587,0.0,0.0,400
encoder,32,ratio,,0.2,1234,geom,0.74203125,1.002109375,,0.26007812500000005,0.023936491278000176,0.0,0.0,400
encoder,32,ratio,,0.4,1234,geom,0.9075,1.16140625,,0.25390625,0.02927419259445742,0.0,0.0,400
encoder,64,fixed_k,1,,1234,geom,0.7189453125,0.7189453125,0.28105468749999996,0.0,0.011411830945871771,0.0,0.0,400
encoder,64,fixed_k,2,,1234,geom,1.0862109375,1.0862109375,0.9137890625,0.0,0.017241444629617034,0.0,0.0,400
encoder,64,fixed_k,4,,1234,geom,1.2657421875,1.2657421875,2.7342578125,0.0,0.02009114685468376,0.0,0.0,400
encoder,64,fixed_k,6,,1234,geom,1.2714453125,1.2714453125,4.7285546875,0.0,0.020181672549806535,0.0,0.0,400
