method,display,seed,N,K,reward,success,C,rho,C_over_N,eta,runtime_s,n_episodes
ac_dsgf,AC-DSGF (K=4),1234,16,4,14.896878585219383,0.28125,27.51953125,0.11466471354166666,1.719970703125,0.5413202154458712,23.192750900001556,2
ac_dsgf,AC-DSGF (K=4),1234,32,4,42.975148893892765,0.109375,72.93359375,0.07352176789314516,2.2791748046875,0.5892366834575838,73.03599630000099,2
ac_dsgf,AC-DSGF (K=4),1234,64,4,123.63932025432587,0.0771484375,114.7880859375,0.028469267345610116,1.7935638427734375,1.0771093467108181,1983.485179999996,16
ac_dsgf,AC-DSGF (K=4),1234,128,4,310.27674321457744,0.0361328125,258.884765625,0.015925490011380414,2.0225372314453125,1.1985129463508863,7871.414610899999,16
ac_dsgf,AC-DSGF (K=4),2026,16,4,14.740978901274502,0.140625,24.00830078125,0.10003458658854167,1.500518798828125,0.6139950942628523,178.14547120000498,16
ac_dsgf,AC-DSGF (K=4),2026,32,4,34.50112443231046,0.072265625,55.41357421875,0.05586045788180444,1.7316741943359375,0.6226114254264526,558.0390154999986,16
ac_dsgf,AC-DSGF (K=4),2026,64,4,98.80611401423812,0.025390625,108.8466796875,0.026995704287574404,1.7007293701171875,0.9077549659568077,1933.4671689000024,16
ac_dsgf,AC-DSGF (K=4),2026,128,4,239.76203779503703,0.0146484375,234.77001953125,0.014442053366833785,1.8341407775878906,1.0212634401690397,7293.070781499999,16
ac_dsgf,AC-DSGF (K=4),3407,16,4,15.946203541243449,0.15234375,23.25048828125,0.09687703450520835,1.453155517578125,0.6858438131857653,183.43001650000224,16
ac_dsgf,AC-DSGF (K=4),3407,32,4,39.26355167129077,0.107421875,55.99365234375,0.056445214056199594,1.7498016357421875,0.7012143346222236,568.7298102999994,16
ac_dsgf,AC-DSGF (K=4),3407,64,4,119.14300532452762,0.0400390625,111.80615234375,0.027729700482080854,1.7469711303710938,1.0656211919199252,2325.867293199997,16
ac_dsgf,AC-DSGF (K=4),3407,128,4,280.8430174663663,0.021484375,253.3642578125,0.015585891843780758,1.9794082641601562,1.1084555489046197,7563.1146706,16
