step,action_alignment,reward_guide
2048,0.0059934197925031185,0.0005993421655148268
4096,0.013268773443996906,0.0013268773909658194
6144,0.008110311813652515,0.0008110310882329941
8192,0.02737938053905964,0.00273793819360435
10240,0.034356750547885895,0.003435675287619233
12288,0.01648717373609543,0.0016487173270434141
14336,0.008730841800570488,0.0008730841800570488
16384,-0.0027462539728730917,-0.0002746253740042448
18432,-0.010414537973701954,-0.0010414537973701954
20480,0.000959451892413199,9.594522998668253e-05
