step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5407108664512634,0.04505923887093862,0.5407108664512634,12.0
4096,0.649075984954834,0.05408966541290283,0.649075984954834,12.0
6144,0.6056272983551025,0.05046894152959188,0.6056272983551025,12.0
8192,0.2346707284450531,0.019555894037087757,0.2346707284450531,12.0
10240,0.14282667636871338,0.011902223030726114,0.14282667636871338,12.0
12288,0.1780766248703003,0.01483971873919169,0.1780766248703003,12.0
14336,0.1571204662322998,0.013093372186024984,0.1571204662322998,12.0
16384,0.09756401926279068,0.00813033493856589,0.09756401926279068,12.0
18432,0.07451102137565613,0.006209251781304677,0.07451102137565613,12.0
20480,0.06563258916139603,0.005469382430116336,0.06563258916139603,12.0
