step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm
2048,-0.06425027549266815,0.0034042950719594955,-0.00390625,0.0005993421655148268,0.1,0.5,0.0,0.00390625,0.0059934197925031185,0.8570820689201355,0.5407108664512634,12.0,0.04505923887093862,-0.0008467109873890877,0.02986941486597061,-0.012764321640133858,0.001
4096,-1.0499427318572998,0.00473677646368742,-0.012939453125,0.0013268773909658194,0.1,1.0,0.0,0.012939453125,0.013268773443996906,0.8608380556106567,0.649075984954834,12.0,0.05408966541290283,-0.0031576696783304214,0.13508740067481995,-0.012867421843111515,0.001
6144,-0.7875760197639465,0.009960342198610306,-0.01611328125,0.0008110310882329941,0.1,0.6872892787909722,0.0,0.01611328125,0.008110311813652515,0.8529717326164246,0.6056272983551025,12.0,0.05046894152959188,-0.0011309850960969925,0.15100538730621338,-0.012848961167037487,0.001
8192,-0.41376879811286926,0.009951025247573853,-0.01318359375,0.00273793819360435,0.1,0.4723665527410147,0.0,0.01318359375,0.02737938053905964,0.8596596121788025,0.2346707284450531,12.0,0.019555894037087757,-0.002853844314813614,0.12047939002513885,-0.01294550858438015,0.001
10240,-0.005306124687194824,0.009968312457203865,-0.010009765625,0.003435675287619233,0.1,0.32465246735834974,0.0,0.010009765625,0.034356750547885895,0.8603578209877014,0.14282667636871338,12.0,0.011902223030726114,-0.005689580924808979,0.10940132290124893,-0.013144828379154205,0.001
12288,1.163740873336792,0.012021413072943687,-0.0029296875,0.0016487173270434141,0.1,0.22313016014842982,0.0,0.0029296875,0.01648717373609543,0.8340907096862793,0.1780766248703003,12.0,0.01483971873919169,-0.004102211445569992,0.024728642776608467,-0.013165186159312725,0.001
14336,0.8631564974784851,0.017241455614566803,-0.010498046875,0.0008730841800570488,0.1,0.15335496684492847,0.0,0.010498046875,0.008730841800570488,0.825062096118927,0.1571204662322998,12.0,0.013093372186024984,-0.0050684791058301926,0.10069756209850311,-0.01319828350096941,0.001
16384,-0.5234478712081909,0.014953534118831158,-0.01904296875,-0.0002746253740042448,0.1,0.10539922456186433,0.0,0.01904296875,-0.0027462539728730917,0.8189202547073364,0.09756401926279068,12.0,0.00813033493856589,-0.002490169834345579,0.17445504665374756,-0.013201484456658363,0.001
18432,0.6577371954917908,0.013927633874118328,-0.0087890625,-0.0010414537973701954,0.1,0.07243975703425146,0.0,0.0087890625,-0.010414537973701954,0.8170545697212219,0.07451102137565613,12.0,0.006209251781304677,-0.004451669752597809,0.09979064762592316,-0.013226523995399475,0.001
20480,0.9774638414382935,0.014960655011236668,-0.00732421875,9.594522998668253e-05,0.1,0.049787068367863944,0.0,0.0069580078125,0.000959451892413199,0.800378680229187,0.06563258916139603,12.0,0.005469382430116336,-0.003201814368367195,0.07817015051841736,-0.013126264326274395,0.001
