method,success,collision,reward,comm_cost,ce,budget_ratio
gat,0.2734,0.1094,1.8855,2.1338,0.128146,1.0
gat,0.3359,0.0156,2.2406,2.3154,0.145086,0.75
gat,0.2578,0.0469,1.9131,2.1567,0.119538,0.5
gat,0.25,0.0391,2.0753,1.8999,0.131586,0.25
gat,0.3281,0.0312,2.4274,2.0496,0.160095,0.1
dsgf,0.4844,0.125,1.7262,1.8257,0.265312,1.0
dsgf,0.4844,0.0781,2.4343,1.4272,0.339377,0.75
dsgf,0.5078,0.1094,1.9585,1.5544,0.326684,0.5
dsgf,0.5156,0.0938,2.6512,1.29,0.399697,0.25
dsgf,0.5078,0.0781,2.3037,1.3347,0.380465,0.1
ac_dsgf,0.5391,0.1406,1.6495,0.0772,6.982061,1.0
ac_dsgf,0.5547,0.1562,2.5304,0.0725,7.649204,0.75
ac_dsgf,0.5469,0.1328,2.4755,0.072,7.599484,0.5
ac_dsgf,0.4766,0.1562,1.2639,0.0681,6.999174,0.25
ac_dsgf,0.5391,0.1094,1.7261,0.061,8.833043,0.1
