method,success,collision,reward,comm_cost,ce,budget_ratio
gat,0.2129,0.0215,8.6797,44.1372,0.004823,1.0
gat,0.1914,0.0234,8.0521,39.6465,0.004828,0.75
gat,0.1816,0.042,8.2676,26.1694,0.006941,0.5
gat,0.168,0.0234,7.7279,17.53,0.009582,0.25
gat,0.1689,0.0137,8.3523,14.9445,0.011305,0.1
dsgf,0.2168,0.0117,9.1054,40.2852,0.005382,1.0
dsgf,0.2109,0.0059,8.5527,37.6168,0.005608,0.75
dsgf,0.2158,0.0117,9.1328,24.6298,0.008763,0.5
dsgf,0.2031,0.0117,9.1016,17.0391,0.011921,0.25
dsgf,0.2168,0.0137,8.7666,14.9783,0.014474,0.1
ac_dsgf,0.2705,0.0195,9.9576,0.0081,33.501789,1.0
ac_dsgf,0.2695,0.0098,9.7024,0.0074,36.335652,0.75
ac_dsgf,0.252,0.0059,9.6067,0.0054,46.750733,0.5
ac_dsgf,0.2725,0.0117,9.795,0.0039,69.35243,0.25
ac_dsgf,0.2422,0.0156,10.0703,0.0036,67.284686,0.1
