step,action_alignment,reward_guide
2048,-0.033624403178691864,-0.0033624402713030577
4096,-0.05580737441778183,-0.005580737255513668
6144,-0.037935979664325714,-0.0037935981526970863
8192,-0.039447661489248276,-0.003944766242057085
10240,-0.0345597043633461,-0.00345597043633461
12288,-0.052221257239580154,-0.00522212591022253
14336,-0.05701502040028572,-0.0057015023194253445
16384,-0.0882667526602745,-0.008826675824820995
18432,-0.1059311181306839,-0.01059311255812645
20480,-0.12297610938549042,-0.012297611683607101
22528,-0.15563827753067017,-0.015563828870654106
24576,-0.17713749408721924,-0.017713751643896103
26624,-0.20235997438430786,-0.020235996693372726
28672,-0.214813232421875,-0.02148132398724556
30720,-0.22294321656227112,-0.02229432202875614
32768,-0.22797435522079468,-0.022797437384724617
34816,-0.21818238496780396,-0.021818239241838455
36864,-0.2266194224357605,-0.02266194298863411
38912,-0.24160924553871155,-0.024160925298929214
40960,-0.2137574553489685,-0.02137574553489685
43008,-0.2120208740234375,-0.02120208740234375
45056,-0.20752017199993134,-0.020752016454935074
47104,-0.19282764196395874,-0.019282765686511993
49152,-0.20342037081718445,-0.020342037081718445
51200,-0.1972501128911972,-0.0197250135242939
53248,-0.19736507534980774,-0.019736507907509804
55296,-0.18891385197639465,-0.018891384825110435
57344,-0.17535866796970367,-0.017535867169499397
59392,-0.1740879863500595,-0.01740880124270916
61440,-0.17141273617744446,-0.017141275107860565
63488,-0.16103129088878632,-0.01610312983393669
65536,-0.18821299076080322,-0.018821299076080322
67584,-0.16335012018680573,-0.016335012391209602
69632,-0.1714642345905304,-0.01714642345905304
71680,-0.16965505480766296,-0.016965506598353386
73728,-0.1690976470708847,-0.0169097650796175
75776,-0.16645431518554688,-0.016645431518554688
77824,-0.17194044589996338,-0.017194043844938278
79872,-0.14021775126457214,-0.014021774753928185
81920,-0.14052250981330872,-0.014052250422537327
83968,-0.1354939341545105,-0.013549393974244595
86016,-0.12078937888145447,-0.012078936211764812
88064,-0.10419823229312897,-0.010419823229312897
90112,-0.10301394760608673,-0.010301394388079643
92160,-0.07799132913351059,-0.007799132727086544
94208,-0.08718961477279663,-0.008718960918486118
96256,-0.10395839065313339,-0.010395839810371399
98304,-0.07888998836278915,-0.007888998836278915
100352,-0.08564694225788116,-0.008564693853259087
102400,-0.06888608634471893,-0.006888608913868666
