step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.023807894438505173,-0.002380789490416646
6144,-0.018001137301325798,-0.0018001138232648373
8192,-0.04258425533771515,-0.004258425906300545
10240,0.023031406104564667,0.0023031404707580805
12288,0.006876812782138586,0.0006876813713461161
14336,-0.018890438601374626,-0.00188904395326972
16384,-0.028208380565047264,-0.0028208382427692413
18432,-0.03304288536310196,-0.0033042882569134235
20480,-0.04480414465069771,-0.004480414558202028
