step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,lambda_budget,target_comm,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5823293328285217,12.0,0.04852744440237681,-0.008550763130187988,0.019353415817022324,-0.01278439536690712,0.0,0.5,0.1,0.0,1.0,5000.0,0.38581809401512146,0.01380059216171503,0.5952707529067993,0.021525371819734573,0.0,0.028840914368629456,0.10698568820953369
4096,-2.1502392292022705,-0.0004413213755469769,-0.016357421875,-0.002380789490416646,0.1,1.0,0.0,0.01611328125,-0.023807894438505173,0.8602068424224854,0.929740846157074,12.0,0.07747840384642284,-0.0036237910389900208,0.19395120441913605,-0.013008758425712585,0.0,0.5,0.1,0.0,1.0,5000.0,0.15366315841674805,0.026244638487696648,1.210322618484497,0.17888444662094116,0.0,0.028911618515849113,0.012220669537782669
6144,-0.5118620991706848,0.002104592975229025,-0.006103515625,-0.0018001138232648373,0.1,0.6872892787909722,0.0,0.006103515625,-0.018001137301325798,0.8544715642929077,1.050041913986206,12.0,0.08750349283218384,-0.006184123456478119,0.05121693015098572,-0.013003261759877205,0.0,0.5,0.1,0.02,1.0,5000.0,0.04269120842218399,0.017908813431859016,1.272867202758789,-0.43265873193740845,0.0,0.11845991760492325,0.0033218113239854574
8192,-0.8666092753410339,0.005192505661398172,-0.011962890625,-0.004258425906300545,0.1,0.4723665527410147,0.0,0.0118408203125,-0.04258425533771515,0.8395522832870483,1.1460866928100586,12.0,0.09550722440083821,-0.0032064132392406464,0.12047417461872101,-0.013083955273032188,0.0,0.5,0.1,0.02,1.0,5000.0,0.0325552336871624,0.009043683297932148,1.545142412185669,-0.006480495445430279,0.5,0.2631770372390747,0.028735406696796417
10240,0.8056033849716187,0.010200027376413345,-0.00390625,0.0023031404707580805,0.1,0.32465246735834974,0.0,0.00390625,0.023031406104564667,0.8388639688491821,0.8218859434127808,12.0,0.06849049528439839,-0.005524562671780586,0.05063147097826004,-0.012609124183654785,0.0,0.5,0.1,0.02,1.0,5000.0,0.04962565004825592,0.012498398311436176,1.058434009552002,0.3138604164123535,0.4375,0.2665156424045563,0.021299943327903748
12288,0.9156186580657959,0.00935053639113903,-0.002197265625,0.0006876813713461161,0.1,0.22313016014842982,0.0,0.002197265625,0.006876812782138586,0.8356153964996338,0.927929162979126,12.0,0.0773274302482605,-0.007768203504383564,0.02362651191651821,-0.012910580262541771,0.0,0.5,0.1,0.02,1.0,5000.0,0.07437099516391754,0.009358212351799011,0.7321595549583435,-0.04791692644357681,0.7272727489471436,0.4107685387134552,0.03590995818376541
14336,-0.5639113187789917,0.018299520015716553,-0.022705078125,-0.00188904395326972,0.1,0.15335496684492847,0.0,0.0223388671875,-0.018890438601374626,0.8350728750228882,1.1373682022094727,12.0,0.09478068351745605,-0.0008144164457917213,0.24462413787841797,-0.012933778576552868,0.0,0.5,0.1,0.02,1.0,5000.0,0.1371118575334549,0.013282837346196175,0.9081867933273315,0.057686224579811096,1.0,0.48276010155677795,0.04719424992799759
16384,0.20171301066875458,0.017445022240281105,-0.015869140625,-0.0028208382427692413,0.1,0.10539922456186433,0.0,0.015869140625,-0.028208380565047264,0.8260749578475952,0.994149923324585,12.0,0.08284582694371541,-0.0042564645409584045,0.18616947531700134,-0.012765183113515377,0.0,0.5,0.1,0.02,1.0,5000.0,0.21756522357463837,0.028325874358415604,1.1991281509399414,0.5440495014190674,0.0,0.4423665702342987,0.04414323717355728
18432,0.8866040706634521,0.01766878366470337,-0.0107421875,-0.0033042882569134235,0.1,0.07243975703425146,0.0,0.0107421875,-0.03304288536310196,0.8239952325820923,0.9469844102859497,12.0,0.07891536752382915,-0.007129332982003689,0.11853887140750885,-0.012850809842348099,0.0,0.5,0.1,0.02,1.0,5000.0,0.25808146595954895,0.04973331093788147,0.5873192548751831,0.29077866673469543,0.0,0.5590419769287109,0.05516117066144943
20480,-0.8889507055282593,0.019666403532028198,-0.026611328125,-0.004480414558202028,0.1,0.049787068367863944,0.0,0.0260009765625,-0.04480414465069771,0.8072842359542847,1.1590497493743896,12.0,0.09658747911453247,0.00026356475427746773,0.27093029022216797,-0.013026130385696888,0.0,0.5,0.1,0.02,1.0,5000.0,0.27055472135543823,0.04131842777132988,1.1908900737762451,0.46062833070755005,0.0,0.5899572372436523,0.07834365218877792
