step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.02305448055267334,-0.002305448055267334
6144,-0.013343545608222485,-0.001334354397840798
8192,-0.029469061642885208,-0.0029469062574207783
10240,0.0017020299565047026,0.00017020301311276853
12288,-0.004176622722297907,-0.00041766243521124125
14336,-0.05563750118017197,-0.005563749931752682
16384,-0.07239751517772675,-0.007239751052111387
18432,-0.025704611092805862,-0.0025704612489789724
20480,-0.020967507734894753,-0.0020967507734894753
