step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5735843777656555,0.04779869814713796,0.5735843777656555,12.0
4096,0.9198569059371948,0.0766547421614329,0.9198569059371948,12.0
6144,1.1528117656707764,0.09606764713923137,1.1528117656707764,12.0
8192,1.7791059017181396,0.1482588251431783,1.7791059017181396,12.0
10240,1.3926490545272827,0.11605408787727356,1.3926490545272827,12.0
12288,1.194775104522705,0.09956459204355876,1.194775104522705,12.0
14336,1.2059576511383057,0.10049647092819214,1.2059576511383057,12.0
16384,1.0219379663467407,0.08516149719556172,1.0219379663467407,12.0
18432,0.941809356212616,0.078484113017718,0.941809356212616,12.0
20480,1.0767768621444702,0.08973140517870586,1.0767768621444702,12.0
