step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,lambda_budget,target_comm,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5820279121398926,12.0,0.048502326011657715,-0.008545161224901676,0.019353415817022324,-0.01278461329638958,0.0,0.5,0.1,0.0,1.0,5000.0,0.37880444526672363,0.016344884410500526,0.594774603843689,0.37557369470596313,0.0,0.0037456920836120844,0.10682129859924316
4096,-2.2437496185302734,-0.000439451658166945,-0.01708984375,-0.002309937495738268,0.1,1.0,0.0,0.016845703125,-0.023099375888705254,0.8601633310317993,0.9281648993492126,12.0,0.07734707494576772,-0.004621332511305809,0.20934438705444336,-0.013027998618781567,0.0,0.5,0.1,0.0,1.0,5000.0,0.12723124027252197,0.028818249702453613,1.2078273296356201,-0.04828622192144394,0.0,0.009829276241362095,0.009230786934494972
6144,-0.45184603333473206,0.0023293273989111185,-0.005859375,-0.0014105067821219563,0.1,0.6872892787909722,0.0,0.005859375,-0.014105069451034069,0.8545877933502197,1.0676894187927246,12.0,0.08897411823272705,-0.005920376628637314,0.05508944392204285,-0.013017123565077782,0.0,0.5,0.1,0.02,1.0,5000.0,0.028542574495077133,0.01544551458209753,1.2273603677749634,-0.6013607382774353,0.0,0.05897451192140579,0.0013568088179454207
8192,-1.2793149948120117,0.004897930659353733,-0.014892578125,-0.002880360698327422,0.1,0.4723665527410147,0.0,0.014892578125,-0.02880360558629036,0.8399891257286072,1.1465742588043213,12.0,0.09554785490036011,-0.0031131431460380554,0.16984504461288452,-0.013185963034629822,0.0,0.5,0.1,0.02,1.0,5000.0,0.014552413485944271,0.004793076775968075,1.8351892232894897,-0.28293508291244507,0.0,0.07293523102998734,0.0030257967300713062
10240,0.8209376931190491,0.009099122136831284,-0.002685546875,0.000489669619128108,0.1,0.32465246735834974,0.0,0.002685546875,0.004896694794297218,0.8353683948516846,0.7659968733787537,12.0,0.0638330727815628,-0.009296456351876259,0.03895455598831177,-0.012739590369164944,0.0,0.5,0.1,0.02,1.0,5000.0,0.016560867428779602,0.004191918298602104,0.7485709190368652,0.0485851988196373,0.0,0.03321468085050583,0.00044142044498585165
12288,0.9087742567062378,0.009785346686840057,-0.002685546875,-7.558689685538411e-05,0.1,0.22313016014842982,0.0,0.002685546875,-0.0007558688521385193,0.8322415351867676,0.9155718088150024,12.0,0.07629765073458354,-0.007162712514400482,0.028855839744210243,-0.013050874695181847,0.0,0.5,0.1,0.02,1.0,5000.0,0.014794169925153255,0.002655129414051771,0.8035989999771118,0.0737203061580658,0.0,0.059256911277770996,0.000811954028904438
14336,-0.17036966979503632,0.018200235441327095,-0.01953125,-0.003816208802163601,0.1,0.15335496684492847,0.0,0.01904296875,-0.03816208988428116,0.8306909799575806,1.1473253965377808,12.0,0.09561044971148173,-0.0019306736066937447,0.1945294886827469,-0.01292895432561636,0.0,0.5,0.1,0.02,1.0,5000.0,0.015282508917152882,0.003950085956603289,0.9811464548110962,0.1382744014263153,0.0,0.05304610729217529,0.0008829459547996521
16384,0.28855663537979126,0.017879348248243332,-0.015625,-0.005416577681899071,0.1,0.10539922456186433,0.0,0.015625,-0.05416577681899071,0.823089599609375,1.0469896793365479,12.0,0.08724913994471233,-0.0045673600398004055,0.16434022784233093,-0.012957342900335789,0.0,0.5,0.1,0.02,1.0,5000.0,0.014338172040879726,0.003039321629330516,1.0550850629806519,-0.10491778701543808,0.0,0.029317867010831833,0.00047259824350476265
18432,1.1214125156402588,0.016329392790794373,-0.007568359375,-0.00041184353176504374,0.1,0.07243975703425146,0.0,0.007568359375,-0.004118435084819794,0.8168544769287109,0.9474735856056213,12.0,0.07895613213380177,-0.006957543548196554,0.09417146444320679,-0.012793361209332943,0.0,0.5,0.1,0.02,1.0,5000.0,0.013389223255217075,0.003259530058130622,0.7378671765327454,-0.008721217513084412,0.0,0.020669881254434586,0.00022370426449924707
20480,-0.6701404452323914,0.017957888543605804,-0.023193359375,-0.00046908450894989073,0.1,0.049787068367863944,0.0,0.0230712890625,-0.004690845496952534,0.814805805683136,1.0802497863769531,12.0,0.09002081553141277,0.0004320824518799782,0.2665153741836548,-0.012930110096931458,0.0,0.5,0.1,0.02,1.0,5000.0,0.014897006563842297,0.0035098835360258818,1.027327299118042,-0.01673414558172226,0.0,0.023974645882844925,0.00016958497872110456
