step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5819933414459229,0.04849944512049357,0.5819933414459229,12.0
4096,0.9305798411369324,0.07754832009474437,0.9305798411369324,12.0
6144,0.8105844855308533,0.0675487071275711,0.8105844855308533,12.0
8192,1.1812736988067627,0.09843947490056355,1.1812736988067627,12.0
10240,0.6931278705596924,0.057760655879974365,0.6931278705596924,12.0
12288,0.7488964796066284,0.06240803996721903,0.7488964796066284,12.0
14336,1.0048542022705078,0.08373785018920898,1.0048542022705078,12.0
16384,0.8869641423225403,0.07391367852687836,0.8869641423225403,12.0
18432,0.6931628584861755,0.057763571540514626,0.6931628584861755,12.0
20480,1.0406923294067383,0.08672436078389485,1.0406923294067383,12.0
