step,action_alignment,reward_guide
2048,0.022828254848718643,0.002282825531437993
4096,0.011440267786383629,0.0011440266389399767
6144,0.05576331913471222,0.005576332099735737
8192,0.05436154454946518,0.005436154548078775
10240,0.007227790541946888,0.0007227790774777532
12288,0.04869351163506508,0.004869351629167795
14336,0.08111754059791565,0.008111754432320595
16384,0.06726499646902084,0.006726499181240797
18432,0.05636220797896385,0.005636220797896385
20480,0.040583446621894836,0.004058344289660454
