step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.36648350954055786,0.030540292461713154,0.36648350954055786,12.0
4096,0.43406984210014343,0.03617248684167862,0.43406984210014343,12.0
6144,0.42828527092933655,0.03569043924411138,0.42828527092933655,12.0
8192,0.15927287936210632,0.013272739946842194,0.15927287936210632,12.0
10240,0.060684505850076675,0.005057042154173057,0.060684505850076675,12.0
12288,0.09938177466392517,0.008281814555327097,0.09938177466392517,12.0
14336,0.0872395858168602,0.00726996548473835,0.0872395858168602,12.0
16384,0.05140681192278862,0.004283900993565719,0.05140681192278862,12.0
18432,0.05113406851887703,0.004261172376573086,0.05113406851887703,12.0
20480,0.037650614976882935,0.003137551248073578,0.037650614976882935,12.0
