step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,utility_mean,utility_std,gate_mass,utility_corr,utility_loss
2048,-0.6518833637237549,-0.00411627721041441,-0.0009765625,0.002282825531437993,0.1,0.5,0.0,0.0009765625,0.022828254848718643,0.8547929525375366,0.36648350954055786,12.0,0.030540292461713154,-0.0058214375749230385,0.014819091185927391,-0.013028871268033981,0.0001,0.1,0.3955899775028229,0.011173932813107967,0.3711453080177307,0.29162222146987915,0.11478171497583389
4096,-0.9553086161613464,0.0037671204190701246,-0.01123046875,0.0011440266389399767,0.1,1.0,0.0,0.01123046875,0.011440267786383629,0.8517316579818726,0.43406984210014343,12.0,0.03617248684167862,-7.899431511759758e-05,0.08455900847911835,-0.013043191283941269,0.0001,0.1,0.15517489612102509,0.03139996528625488,0.5112329721450806,0.07564143091440201,0.013187232427299023
6144,-1.920168399810791,0.008680323138833046,-0.023681640625,0.005576332099735737,0.1,0.6872892787909722,0.0,0.0234375,0.05576331913471222,0.841366171836853,0.42828527092933655,12.0,0.03569043924411138,-0.0066837589256465435,0.2387065589427948,-0.013113007880747318,0.0001,0.1,0.05495956912636757,0.014705396257340908,0.5087562799453735,-0.0016939588822424412,0.0075256009586155415
8192,-0.7534077763557434,0.009494863450527191,-0.015380859375,0.005436154548078775,0.1,0.4723665527410147,0.0,0.015380859375,0.05436154454946518,0.8536491990089417,0.15927287936210632,12.0,0.013272739946842194,-0.0026807449758052826,0.138370543718338,-0.013034367002546787,0.0001,0.1,0.03292803093791008,0.008193453773856163,0.12289781123399734,0.4642013609409332,0.004532645456492901
10240,0.48956629633903503,0.00773098599165678,-0.00390625,0.0007227790774777532,0.1,0.32465246735834974,0.0,0.00390625,0.007227790541946888,0.8585866689682007,0.060684505850076675,12.0,0.005057042154173057,-0.005763165652751923,0.037795089185237885,-0.01305676344782114,0.0001,0.1,0.028817711398005486,0.004225685726851225,0.06311415135860443,0.18784752488136292,0.007704246323555708
12288,1.0870342254638672,0.013863547705113888,-0.00537109375,0.004869351629167795,0.1,0.22313016014842982,0.0,0.00537109375,0.04869351163506508,0.8394263982772827,0.09938177466392517,12.0,0.008281814555327097,-0.002860983833670616,0.05783046782016754,-0.013011721894145012,0.0001,0.1,0.03192950785160065,0.004973361734300852,0.10742345452308655,-0.12604114413261414,0.00643153116106987
14336,0.6275864839553833,0.016133487224578857,-0.01123046875,0.008111754432320595,0.1,0.15335496684492847,0.0,0.01123046875,0.08111754059791565,0.8298587799072266,0.0872395858168602,12.0,0.00726996548473835,-0.0012822747230529785,0.10379189997911453,-0.01315897237509489,0.0001,0.1,0.035409267991781235,0.005710121709853411,0.1455782651901245,-0.21641844511032104,0.0072751338593661785
16384,-0.740129828453064,0.013260705396533012,-0.01904296875,0.006726499181240797,0.1,0.10539922456186433,0.0,0.0181884765625,0.06726499646902084,0.8317345380783081,0.05140681192278862,12.0,0.004283900993565719,0.0005244589410722256,0.17504891753196716,-0.01323673315346241,0.0001,0.1,0.033687759190797806,0.0036572159733623266,0.053156137466430664,0.05441996455192566,0.002077380195260048
18432,0.5976171493530273,0.012481383979320526,-0.0078125,0.005636220797896385,0.1,0.07243975703425146,0.0,0.0078125,0.05636220797896385,0.8261885643005371,0.05113406851887703,12.0,0.004261172376573086,-0.005347047932446003,0.0872548446059227,-0.013201575726270676,0.0001,0.1,0.03279527276754379,0.003630727296695113,0.039408549666404724,0.5446802377700806,0.002021406777203083
20480,0.8109965324401855,0.012195287272334099,-0.005859375,0.004058344289660454,0.1,0.049787068367863944,0.0,0.005859375,0.040583446621894836,0.8199833035469055,0.037650614976882935,12.0,0.003137551248073578,-0.00401278305798769,0.06411609053611755,-0.01320270262658596,0.0001,0.1,0.030668869614601135,0.003787958761677146,0.04086373746395111,0.1706419587135315,0.0013179962988942862
