step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.023049280047416687,-0.0023049279116094112
6144,-0.013330492191016674,-0.0013330492656677961
8192,-0.029436727985739708,-0.002943672938272357
10240,0.0009619237389415503,9.619240881875157e-05
12288,-0.013344314880669117,-0.0013344314647838473
14336,-0.039383646100759506,-0.0039383647963404655
16384,-0.07658427208662033,-0.00765842804685235
18432,-0.049248579889535904,-0.00492485798895359
20480,-0.022818762809038162,-0.00228187651373446
