step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5820456743240356,0.04850380619366964,0.5820456743240356,12.0
4096,0.9281929731369019,0.07734941442807515,0.9281929731369019,12.0
6144,0.7930656671524048,0.06608880559603374,0.7930656671524048,12.0
8192,1.0336942672729492,0.08614118893941243,1.0336942672729492,12.0
10240,0.6671136021614075,0.05559280018011729,0.6671136021614075,12.0
12288,0.5902840495109558,0.049190337459246315,0.5902840495109558,12.0
14336,0.8010948896408081,0.06675790747006734,0.8010948896408081,12.0
16384,0.7168842554092407,0.05974035461743673,0.7168842554092407,12.0
18432,0.5744389295578003,0.04786991079648336,0.5744389295578003,12.0
20480,0.597899317741394,0.04982494314511617,0.597899317741394,12.0
