step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.023054547607898712,-0.0023054545745253563
6144,-0.013340354897081852,-0.0013340357691049576
8192,-0.029094107449054718,-0.0029094109777361155
10240,-0.00272750249132514,-0.00027275027241557837
12288,-0.028227807953953743,-0.0028227809816598892
14336,-0.028675751760601997,-0.002867575269192457
16384,-0.060994379222393036,-0.0060994382947683334
18432,-0.02076919749379158,-0.002076920121908188
20480,-0.02076374739408493,-0.0020763748325407505
