step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5820279121398926,0.048502326011657715,0.5820279121398926,12.0
4096,0.9282326698303223,0.07735272248586018,0.9282326698303223,12.0
6144,0.7931004762649536,0.0660917063554128,0.7931004762649536,12.0
8192,1.0375463962554932,0.08646219968795776,1.0375463962554932,12.0
10240,0.6539410352706909,0.05449508627255758,0.6539410352706909,12.0
12288,0.6248729825019836,0.05207274854183197,0.6248729825019836,12.0
14336,0.7745798826217651,0.06454832355181377,0.7745798826217651,12.0
16384,0.7287070751190186,0.06072558959325155,0.7287070751190186,12.0
18432,0.6137932538986206,0.05114943782488505,0.6137932538986206,12.0
20480,0.7049113512039185,0.05874261260032654,0.7049113512039185,12.0
