step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5820279121398926,12.0,0.048502326011657715,-0.008545974269509315,0.019353415817022324,-0.012784762308001518,0.0,0.5,0.1,5000.0,0.37875503301620483,0.014833283610641956,0.5947108268737793,0.016792936250567436,0.10345307737588882
4096,-2.2429792881011963,-0.0004334327531978488,-0.01708984375,-0.0023054545745253563,0.1,1.0,0.0,0.016845703125,-0.023054547607898712,0.8601635694503784,0.9282326698303223,12.0,0.07735272248586018,-0.004598518833518028,0.20933756232261658,-0.013027017004787922,0.0,0.5,0.1,5000.0,0.1309564858675003,0.02862599492073059,1.2077685594558716,0.2667892575263977,0.008450459688901901
6144,-0.45434272289276123,0.002309822477400303,-0.005859375,-0.0013340357691049576,0.1,0.6872892787909722,0.0,0.005859375,-0.013340354897081852,0.8546817302703857,0.7931004762649536,12.0,0.0660917063554128,-0.004828218370676041,0.05458495020866394,-0.013057395815849304,1e-05,0.5,0.1,5000.0,0.03031804785132408,0.01814606785774231,0.801396369934082,-0.4871164560317993,0.0018284025136381388
8192,-0.8714007139205933,0.005155072547495365,-0.011962890625,-0.0029094109777361155,0.1,0.4723665527410147,0.0,0.011962890625,-0.029094107449054718,0.83882737159729,1.0375463962554932,12.0,0.08646219968795776,-0.0027415379881858826,0.12507495284080505,-0.013178594410419464,1e-05,0.5,0.1,5000.0,0.01929040253162384,0.008704427629709244,1.431815505027771,-0.1864071488380432,0.03547227382659912
10240,0.7502409219741821,0.009035085327923298,-0.003173828125,-0.00027275027241557837,0.1,0.32465246735834974,0.0,0.003173828125,-0.00272750249132514,0.8343372344970703,0.6539410352706909,12.0,0.05449508627255758,-0.007561336737126112,0.04515634849667549,-0.012769460678100586,1e-05,0.5,0.1,5000.0,0.034007709473371506,0.009880614466965199,0.6945621371269226,0.31670820713043213,0.022517763078212738
12288,0.14565569162368774,0.007729731500148773,-0.006591796875,-0.0028227809816598892,0.1,0.22313016014842982,0.0,0.006591796875,-0.028227807953953743,0.8308943510055542,0.6248729825019836,12.0,0.05207274854183197,-0.0033697402104735374,0.06993313133716583,-0.013191377744078636,1e-05,0.5,0.1,5000.0,0.06971319019794464,0.01870996505022049,0.6457234621047974,0.41327059268951416,0.053978368639945984
14336,0.051557838916778564,0.015295373275876045,-0.014892578125,-0.002867575269192457,0.1,0.15335496684492847,0.0,0.014892578125,-0.028675751760601997,0.8278995156288147,0.7745798826217651,12.0,0.06454832355181377,-0.0011746305972337723,0.1351872980594635,-0.013032075949013233,1e-05,0.5,0.1,5000.0,0.19149605929851532,0.029817286878824234,0.7858426570892334,0.3102773427963257,0.08162055909633636
16384,-0.09603309631347656,0.015363022685050964,-0.01611328125,-0.0060994382947683334,0.1,0.10539922456186433,0.0,0.01611328125,-0.060994379222393036,0.8181692361831665,0.7287070751190186,12.0,0.06072558959325155,-0.004891380202025175,0.17664295434951782,-0.01303902082145214,1e-05,0.5,0.1,5000.0,0.3152194917201996,0.06452840566635132,0.7931247353553772,0.5684714317321777,0.05753244459629059
18432,0.8299375772476196,0.015272949822247028,-0.0087890625,-0.002076920121908188,0.1,0.07243975703425146,0.0,0.0087890625,-0.02076919749379158,0.8118757009506226,0.6137932538986206,12.0,0.05114943782488505,-0.005901535972952843,0.09280909597873688,-0.012841179035604,1e-05,0.5,0.1,5000.0,0.313400000333786,0.07770434767007828,0.4456770122051239,-0.1465902328491211,0.05707554146647453
20480,-0.20582175254821777,0.01621428318321705,-0.017822265625,-0.0020763748325407505,0.1,0.049787068367863944,0.0,0.017333984375,-0.02076374739408493,0.8212200999259949,0.7049113512039185,12.0,0.05874261260032654,-0.0012772055342793465,0.17682819068431854,-0.013087532483041286,1e-05,0.5,0.1,5000.0,0.29021739959716797,0.08353140205144882,0.6487226486206055,0.5543173551559448,0.0743994265794754
