step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.023054547607898712,-0.0023054545745253563
6144,-0.013340354897081852,-0.0013340357691049576
8192,-0.029091667383909225,-0.0029091662727296352
10240,-0.001241533551365137,-0.00012415350647643209
12288,0.010867826640605927,0.0010867826640605927
14336,-0.05151791125535965,-0.005151791498064995
16384,-0.03626960888504982,-0.0036269607953727245
18432,-0.014289073646068573,-0.0014289072714745998
20480,0.00043207721319049597,4.320753942010924e-05
