step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5820279121398926,0.048502326011657715,0.5820279121398926,12.0
4096,0.9282326698303223,0.07735272248586018,0.9282326698303223,12.0
6144,0.7037287354469299,0.05864406128724416,0.7037287354469299,12.0
8192,0.7304097414016724,0.060867478450139366,0.7304097414016724,12.0
10240,0.3604804575443268,0.030040038128693897,0.3604804575443268,12.0
12288,0.22661998867988586,0.018884999056657154,0.22661998867988586,12.0
14336,0.23287326097488403,0.019406105081240337,0.23287326097488403,12.0
16384,0.18233221769332886,0.015194351474444071,0.18233221769332886,12.0
18432,0.12689436972141266,0.010574530810117722,0.12689436972141266,12.0
20480,0.1355980783700943,0.011299839864174524,0.1355980783700943,12.0
