step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5820279121398926,12.0,0.048502326011657715,-0.008545974269509315,0.019353415817022324,-0.012784762308001518,0.0,0.5,0.1,5000.0,0.37875503301620483,0.014833283610641956,0.5947108268737793,0.016792936250567436,0.10345307737588882
4096,-2.2429792881011963,-0.0004334327531978488,-0.01708984375,-0.0023054545745253563,0.1,1.0,0.0,0.016845703125,-0.023054547607898712,0.8601635694503784,0.9282326698303223,12.0,0.07735272248586018,-0.004598518833518028,0.20933756232261658,-0.013027017004787922,0.0,0.5,0.1,5000.0,0.1309564858675003,0.02862599492073059,1.2077685594558716,0.2667892575263977,0.008450459688901901
6144,-0.45434272289276123,0.002309822477400303,-0.005859375,-0.0013340357691049576,0.1,0.6872892787909722,0.0,0.005859375,-0.013340354897081852,0.8546817302703857,0.7037287354469299,12.0,0.05864406128724416,-0.0048282817006111145,0.05458495020866394,-0.013057410717010498,5e-05,0.5,0.1,5000.0,0.0303195808082819,0.018147209659218788,0.6883507966995239,-0.487169474363327,0.0018275461625307798
8192,-0.8713444471359253,0.005155513063073158,-0.011962890625,-0.0029091662727296352,0.1,0.4723665527410147,0.0,0.011962890625,-0.029091667383909225,0.8388264179229736,0.7304097414016724,12.0,0.060867478450139366,-0.0027362145483493805,0.12507866322994232,-0.013174459338188171,5e-05,0.5,0.1,5000.0,0.01928536593914032,0.008699094876646996,0.9294532537460327,-0.2060900777578354,0.035224318504333496
10240,0.7260721921920776,0.009090407751500607,-0.00341796875,-0.00012415350647643209,0.1,0.32465246735834974,0.0,0.00341796875,-0.001241533551365137,0.8343711495399475,0.3604804575443268,12.0,0.030040038128693897,-0.006095504388213158,0.048819608986377716,-0.012761568650603294,5e-05,0.5,0.1,5000.0,0.032106854021549225,0.009179949760437012,0.34412166476249695,-0.19662721455097198,0.011352283880114555
12288,0.49312275648117065,0.008247052319347858,-0.00439453125,0.0010867826640605927,0.1,0.22313016014842982,0.0,0.00439453125,0.010867826640605927,0.8306751251220703,0.22661998867988586,12.0,0.018884999056657154,-0.005382099188864231,0.043869514018297195,-0.013131890445947647,5e-05,0.5,0.1,5000.0,0.058140985667705536,0.014386198483407497,0.22738045454025269,0.35766932368278503,0.0380658358335495
14336,0.3345250189304352,0.016773633658885956,-0.01416015625,-0.005151791498064995,0.1,0.15335496684492847,0.0,0.01416015625,-0.05151791125535965,0.8293378353118896,0.23287326097488403,12.0,0.019406105081240337,-0.001340292626991868,0.12618404626846313,-0.01301569677889347,5e-05,0.5,0.1,5000.0,0.1259090155363083,0.02107287384569645,0.1957591474056244,0.10241712629795074,0.036245085299015045
16384,-0.3483269512653351,0.017542369663715363,-0.020263671875,-0.0036269607953727245,0.1,0.10539922456186433,0.0,0.0201416015625,-0.03626960888504982,0.8175522089004517,0.18233221769332886,12.0,0.015194351474444071,-0.005794855300337076,0.24153029918670654,-0.013000547885894775,5e-05,0.5,0.1,5000.0,0.17300434410572052,0.020736517384648323,0.18483701348304749,0.32275456190109253,0.027386782690882683
18432,0.3564589023590088,0.016944993287324905,-0.01416015625,-0.0014289072714745998,0.1,0.07243975703425146,0.0,0.01416015625,-0.014289073646068573,0.8094817399978638,0.12689436972141266,12.0,0.010574530810117722,-0.00480838306248188,0.15671436488628387,-0.0128877442330122,5e-05,0.5,0.1,5000.0,0.21372297406196594,0.03616385534405708,0.08584554493427277,0.37389275431632996,0.054373644292354584
20480,-1.2449276447296143,0.016885332763195038,-0.026611328125,4.320753942010924e-05,0.1,0.049787068367863944,0.0,0.026123046875,0.00043207721319049597,0.812089204788208,0.1355980783700943,12.0,0.011299839864174524,0.0013509378768503666,0.3121076226234436,-0.013105019927024841,5e-05,0.5,0.1,5000.0,0.28625813126564026,0.05538201332092285,0.10736950486898422,0.4881860911846161,0.09667990356683731
