step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.02307814732193947,-0.002307814545929432
6144,-0.013388209044933319,-0.001338820904493332
8192,-0.029882887378335,-0.0029882886447012424
10240,-0.0024849213659763336,-0.0002484922297298908
12288,0.009313582442700863,0.0009313583723269403
14336,-0.04459846019744873,-0.004459846299141645
16384,-0.025515984743833542,-0.002551598474383354
18432,0.013675525784492493,0.0013675526715815067
20480,0.04158318042755127,0.004158318042755127
