step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5820987224578857,0.04850822687149048,0.5820987224578857,12.0
4096,0.928580641746521,0.07738172014554341,0.928580641746521,12.0
6144,0.4758020341396332,0.0396501695116361,0.4758020341396332,12.0
8192,0.4976629614830017,0.04147191345691681,0.4976629614830017,12.0
10240,0.5336178541183472,0.044468154509862266,0.5336178541183472,12.0
12288,0.4765785038471222,0.039714875320593514,0.4765785038471222,12.0
14336,0.40227454900741577,0.03352287908395132,0.40227454900741577,12.0
16384,0.4810638725757599,0.04008865604797999,0.4810638725757599,12.0
18432,0.5390759110450745,0.04492299258708954,0.5390759110450745,12.0
20480,0.476995050907135,0.03974958757559458,0.476995050907135,12.0
