step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,lambda_budget,target_comm,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5820987224578857,12.0,0.04850822687149048,-0.008546026423573494,0.019353415817022324,-0.012784752994775772,0.0,0.5,0.1,0.0,0.5,5000.0,0.37846192717552185,0.015793543308973312,0.5948406457901001,-0.0351126603782177,0.0,0.028401503339409828,0.10306593775749207
4096,-2.242987632751465,-0.000433498527854681,-0.01708984375,-0.002307814545929432,0.1,1.0,0.0,0.016845703125,-0.02307814732193947,0.8601641654968262,0.928580641746521,12.0,0.07738172014554341,-0.004593185149133205,0.2093375325202942,-0.013026852160692215,0.0,0.5,0.1,0.0,0.5,5000.0,0.12908850610256195,0.02815413847565651,1.2082571983337402,0.18880707025527954,0.0,0.027000153437256813,0.008247993886470795
6144,-0.45511147379875183,0.0023038163781166077,-0.005859375,-0.001338820904493332,0.1,0.6872892787909722,0.0,0.005859375,-0.013388209044933319,0.8546864986419678,0.4758020341396332,12.0,0.0396501695116361,-0.0048232488334178925,0.05457296967506409,-0.013056958094239235,0.0,0.5,0.1,0.05,0.5,5000.0,0.030641498044133186,0.017685387283563614,0.45417284965515137,-0.46034306287765503,0.0,0.08559225499629974,0.0017610748764127493
8192,-0.9986417293548584,0.005137563217431307,-0.012939453125,-0.0029882886447012424,0.1,0.4723665527410147,0.0,0.012939453125,-0.029882887378335,0.8388588428497314,0.4976629614830017,12.0,0.04147191345691681,-0.0024331118911504745,0.15016192197799683,-0.013221075758337975,0.0,0.5,0.1,0.05,0.5,5000.0,0.018300456926226616,0.007901631295681,0.5940309762954712,-0.12870009243488312,0.0,0.23512490093708038,0.02485157549381256
10240,0.8088933825492859,0.009493307210505009,-0.003173828125,-0.0002484922297298908,0.1,0.32465246735834974,0.0,0.003173828125,-0.0024849213659763336,0.8341029286384583,0.5336178541183472,12.0,0.044468154509862266,-0.007641889620572329,0.0466901920735836,-0.012793414294719696,0.0,0.5,0.1,0.05,0.5,5000.0,0.03240783140063286,0.009092223830521107,0.5479824542999268,0.3883543908596039,0.0,0.1533431112766266,0.005821517668664455
12288,0.4183608293533325,0.009371960535645485,-0.006103515625,0.0009313583723269403,0.1,0.22313016014842982,0.0,0.006103515625,0.009313582442700863,0.830155074596405,0.4765785038471222,12.0,0.039714875320593514,-0.0019377847202122211,0.06186928227543831,-0.013199271634221077,0.0,0.5,0.1,0.05,0.5,5000.0,0.04691823199391365,0.010426580905914307,0.5234513282775879,0.3156047463417053,0.0,0.338837593793869,0.03217533603310585
14336,0.3169502913951874,0.016148049384355545,-0.013671875,-0.004459846299141645,0.1,0.15335496684492847,0.0,0.013671875,-0.04459846019744873,0.8266838192939758,0.40227454900741577,12.0,0.03352287908395132,-0.002322779968380928,0.12400472164154053,-0.012978668324649334,0.0,0.5,0.1,0.05,0.5,5000.0,0.09278666973114014,0.015287906862795353,0.4144488573074341,0.13006603717803955,0.0,0.33821266889572144,0.04009371995925903
16384,-0.6482827663421631,0.01666380651295185,-0.021728515625,-0.002551598474383354,0.1,0.10539922456186433,0.0,0.021728515625,-0.025515984743833542,0.82108473777771,0.4810638725757599,12.0,0.04008865604797999,-0.0035018394701182842,0.23560625314712524,-0.012943807989358902,0.0,0.5,0.1,0.05,0.5,5000.0,0.15023258328437805,0.017992718145251274,0.4987197518348694,-0.16158980131149292,0.0,0.2697092592716217,0.025545913726091385
18432,1.2625412940979004,0.016699541360139847,-0.0068359375,0.0013675526715815067,0.1,0.07243975703425146,0.0,0.0068359375,0.013675525784492493,0.8179048299789429,0.5390759110450745,12.0,0.04492299258708954,-0.005498051177710295,0.0743386521935463,-0.012771161273121834,0.0,0.5,0.1,0.05,0.5,5000.0,0.19684137403964996,0.02079235576093197,0.44376474618911743,-0.029955029487609863,0.0,0.4847298562526703,0.06067538633942604
20480,-0.4644309878349304,0.01736772619187832,-0.02099609375,0.004158318042755127,0.1,0.049787068367863944,0.0,0.0205078125,0.04158318042755127,0.8204623460769653,0.476995050907135,12.0,0.03974958757559458,0.0005310205742716789,0.22172093391418457,-0.012959473766386509,0.0,0.5,0.1,0.05,0.5,5000.0,0.22032395005226135,0.020630065351724625,0.45969390869140625,-0.08911923319101334,0.0,0.44061508774757385,0.05628284066915512
