step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.023054547607898712,-0.0023054545745253563
6144,-0.013340354897081852,-0.0013340357691049576
8192,-0.02937309257686138,-0.002937309443950653
10240,0.013135066255927086,0.0013135068584233522
12288,0.028980065137147903,0.0028980064671486616
14336,0.020720187574625015,0.002072019036859274
16384,0.051805540919303894,0.005180553533136845
18432,0.04505816847085953,0.004505816847085953
20480,0.022349530830979347,0.002234953222796321
