step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5820279121398926,0.048502326011657715,0.5820279121398926,12.0
4096,0.9282326698303223,0.07735272248586018,0.9282326698303223,12.0
6144,0.47847163677215576,0.03987263639767965,0.47847163677215576,12.0
8192,0.4963777959346771,0.04136481632788976,0.4963777959346771,12.0
10240,0.5363661050796509,0.04469717542330424,0.5363661050796509,12.0
12288,0.47027701139450073,0.039189750949541725,0.47027701139450073,12.0
14336,0.41740158200263977,0.03478346516688665,0.41740158200263977,12.0
16384,0.4962475895881653,0.04135396579901377,0.4962475895881653,12.0
18432,0.5274192690849304,0.04395160575707754,0.5274192690849304,12.0
20480,0.4639595150947571,0.03866329292456309,0.4639595150947571,12.0
