step,action_alignment,reward_guide
2048,-0.045035164803266525,-0.0045035164803266525
4096,-0.023054547607898712,-0.0023054545745253563
6144,-0.013340354897081852,-0.0013340357691049576
8192,-0.028991714119911194,-0.0028991715516895056
10240,0.0029348323587328196,0.0002934832591563463
12288,0.012249915860593319,0.001224991399794817
14336,-0.021700121462345123,-0.0021700123324990273
16384,-0.045707203447818756,-0.004570720251649618
18432,-0.02263941988348961,-0.0022639422677457333
20480,-0.006331393029540777,-0.0006331391632556915
