step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.5820279121398926,0.048502326011657715,0.5820279121398926,12.0
4096,0.9282326698303223,0.07735272248586018,0.9282326698303223,12.0
6144,1.0717365741729736,0.08931138118108113,1.0717365741729736,12.0
8192,1.1354740858078003,0.09462284048398335,1.1354740858078003,12.0
10240,0.8155961632728577,0.0679663469394048,0.8155961632728577,12.0
12288,0.9131438732147217,0.07609532276789348,0.9131438732147217,12.0
14336,1.1815640926361084,0.09846367438634236,1.1815640926361084,12.0
16384,1.0538408756256104,0.08782007296880086,1.0538408756256104,12.0
18432,0.9811219573020935,0.0817601631085078,0.9811219573020935,12.0
20480,1.031748652458191,0.08597905437151591,1.031748652458191,12.0
