step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,lambda_budget,target_comm,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,cud,utility_loss
2048,-1.0384328365325928,-0.006892053410410881,-0.001220703125,-0.0045035164803266525,0.1,0.5,0.0,0.001220703125,-0.045035164803266525,0.8604239821434021,0.5820279121398926,12.0,0.048502326011657715,-0.008545974269509315,0.019353415817022324,-0.012784762308001518,0.0,0.5,0.1,0.0,1.0,5000.0,0.37875503301620483,0.014833283610641956,0.5947108268737793,0.016792936250567436,0.0,0.028395872563123703,0.10345307737588882
4096,-2.2429792881011963,-0.0004334327531978488,-0.01708984375,-0.0023054545745253563,0.1,1.0,0.0,0.016845703125,-0.023054547607898712,0.8601635694503784,0.9282326698303223,12.0,0.07735272248586018,-0.004598518833518028,0.20933756232261658,-0.013027017004787922,0.0,0.5,0.1,0.0,1.0,5000.0,0.1309564858675003,0.02862599492073059,1.2077685594558716,0.2667892575263977,0.0,0.026941459625959396,0.008450459688901901
6144,-0.45434272289276123,0.002309822477400303,-0.005859375,-0.0013340357691049576,0.1,0.6872892787909722,0.0,0.005859375,-0.013340354897081852,0.8546817302703857,1.0717365741729736,12.0,0.08931138118108113,-0.004834391176700592,0.05458495020866394,-0.013056834228336811,0.0,0.5,0.1,0.02,1.0,5000.0,0.030303748324513435,0.018145330250263214,1.145963191986084,-0.4865977466106415,0.0,0.0884976014494896,0.001843876438215375
8192,-0.8450257182121277,0.005116986110806465,-0.01171875,-0.0028991715516895056,0.1,0.4723665527410147,0.0,0.01171875,-0.028991714119911194,0.8388382196426392,1.1354740858078003,12.0,0.09462284048398335,-0.002997888717800379,0.11965616792440414,-0.013162247836589813,0.0,0.5,0.1,0.02,1.0,5000.0,0.01960907131433487,0.008740119636058807,1.6071151494979858,-0.24695554375648499,1.0,0.2975161373615265,0.037503015249967575
10240,0.7573603391647339,0.009090705774724483,-0.003173828125,0.0002934832591563463,0.1,0.32465246735834974,0.0,0.003173828125,0.0029348323587328196,0.8351960778236389,0.8155961632728577,12.0,0.0679663469394048,-0.006374076008796692,0.04200087487697601,-0.01272604987025261,0.0,0.5,0.1,0.02,1.0,5000.0,0.03204924613237381,0.008558174595236778,1.001517415046692,-0.11767975986003876,0.1111111119389534,0.20601509511470795,0.013087611645460129
12288,0.57651287317276,0.00816611759364605,-0.003662109375,0.001224991399794817,0.1,0.22313016014842982,0.0,0.003662109375,0.012249915860593319,0.8316932916641235,0.9131438732147217,12.0,0.07609532276789348,-0.005743997171521187,0.034340448677539825,-0.01309041678905487,0.0,0.5,0.1,0.02,1.0,5000.0,0.06054262816905975,0.013726720586419106,0.743091881275177,-0.07485951483249664,0.8181818127632141,0.4443594515323639,0.044206324964761734
14336,-0.2794632911682129,0.016371380537748337,-0.0185546875,-0.0021700123324990273,0.1,0.15335496684492847,0.0,0.018310546875,-0.021700121462345123,0.8333752751350403,1.1815640926361084,12.0,0.09846367438634236,-0.0017101948615163565,0.17574700713157654,-0.012978759594261646,0.0,0.5,0.1,0.02,1.0,5000.0,0.17823146283626556,0.025854643434286118,1.1620882749557495,0.35711514949798584,1.0,0.5802677273750305,0.07224279642105103
16384,0.08305691182613373,0.01602974161505699,-0.015380859375,-0.004570720251649618,0.1,0.10539922456186433,0.0,0.015380859375,-0.045707203447818756,0.8245811462402344,1.0538408756256104,12.0,0.08782007296880086,-0.005021736957132816,0.16869261860847473,-0.012962261214852333,0.0,0.5,0.1,0.02,1.0,5000.0,0.30829986929893494,0.06763315200805664,1.2637059688568115,0.6513606905937195,0.0,0.5484021902084351,0.0635400116443634
18432,0.8184215426445007,0.0154271200299263,-0.009033203125,-0.0022639422677457333,0.1,0.07243975703425146,0.0,0.0087890625,-0.02263941988348961,0.8174999952316284,0.9811219573020935,12.0,0.0817601631085078,-0.006871257908642292,0.1145823672413826,-0.012778451666235924,0.0,0.5,0.1,0.02,1.0,5000.0,0.31133145093917847,0.08047638088464737,0.8152698874473572,-0.2587035596370697,0.0,0.5724515318870544,0.06934238970279694
20480,-0.2825276851654053,0.01610330119729042,-0.018310546875,-0.0006331391632556915,0.1,0.049787068367863944,0.0,0.01806640625,-0.006331393029540777,0.8192324638366699,1.031748652458191,12.0,0.08597905437151591,-0.0014143995940685272,0.17170727252960205,-0.013104051351547241,0.0,0.5,0.1,0.02,1.0,5000.0,0.32394957542419434,0.07727909833192825,0.9694847464561462,0.3299756944179535,0.0,0.6825839877128601,0.09571190178394318
