step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy,lambda_comm,lambda_u,lambda_rank,utility_warmup_steps,utility_mean,utility_std,gate_mass,utility_corr,comm_precision,utility_loss
2048,-6.039421558380127,-0.01806921511888504,-0.02911376953125,0.0019707721658051014,0.1,0.1,0.0,0.0289306640625,0.01970772072672844,0.8510149717330933,13.256425857543945,240.0,0.05523510773976644,-0.0028332071378827095,0.3119429349899292,-0.013119286857545376,0.0,0.5,0.1,20000.0,0.39108455181121826,0.01971038617193699,9.92752742767334,0.5039300918579102,0.0,0.11012893915176392
4096,-6.334863662719727,-0.021414948627352715,-0.028076171875,0.0014547714963555336,0.1,0.2,0.0,0.02789306640625,0.014547714963555336,0.8436923027038574,12.222148895263672,240.0,0.050925620396931964,-0.003200644627213478,0.2924560308456421,-0.013124852441251278,0.0,0.5,0.1,20000.0,0.15574583411216736,0.0662204846739769,10.687944412231445,0.6680896282196045,0.03125,0.009449630975723267
6144,-5.774529933929443,-0.026070546358823776,-0.01904296875,0.0013928685802966356,0.1,0.3,0.0,0.018951416015625,0.013928685337305069,0.8448854088783264,10.415781021118164,240.0,0.04339908758799235,-0.0024845581501722336,0.24881961941719055,-0.01311506051570177,0.0,0.5,0.1,20000.0,0.05773478001356125,0.037081073969602585,5.975889205932617,0.17609402537345886,0.0,0.01622753217816353
8192,-5.422420978546143,-0.02380797639489174,-0.0185546875,0.0030310475267469883,0.1,0.4,0.0,0.01837158203125,0.03031047433614731,0.8425496220588684,10.934921264648438,240.0,0.04556217193603516,-0.003091447986662388,0.2390182912349701,-0.01322732400149107,0.0,0.5,0.1,20000.0,0.08280467987060547,0.04285915195941925,6.2093353271484375,0.13563187420368195,0.37735849618911743,0.02979801967740059
10240,-4.229541778564453,-0.02614632248878479,-0.00689697265625,0.000640442012809217,0.1,0.5,0.0,0.006866455078125,0.006404419429600239,0.8410975933074951,9.244600296020508,240.0,0.03851916790008545,-0.0027679074555635452,0.1294296234846115,-0.0131001528352499,0.0,0.5,0.1,20000.0,0.17173360288143158,0.06327131390571594,5.31001091003418,0.5343489050865173,0.1599999964237213,0.025297164916992188
12288,-3.9243030548095703,-0.02357853762805462,-0.007080078125,-0.0023148036561906338,0.1,0.6,0.0,0.007080078125,-0.023148033767938614,0.8409873843193054,10.196113586425781,240.0,0.04248380661010742,0.0006258990615606308,0.10673214495182037,-0.013212466612458229,0.0,0.5,0.1,20000.0,0.1395721584558487,0.04236220568418503,5.8203301429748535,0.6163161993026733,0.1818181872367859,0.02090388722717762
14336,-2.122131586074829,-0.009987358003854752,-0.006591796875,-0.005110819824039936,0.1,0.7,0.0,0.006591796875,-0.05110819637775421,0.8316493034362793,11.269811630249023,240.0,0.04695754845937093,-0.0017789006233215332,0.0970236286520958,-0.013283242471516132,0.0,0.5,0.1,20000.0,0.14318379759788513,0.05895790085196495,9.002646446228027,0.49013081192970276,0.18000000715255737,0.022376127541065216
16384,-1.472133994102478,-0.005153391044586897,-0.00634765625,-0.004111369140446186,0.1,0.8,0.0,0.00634765625,-0.04111368954181671,0.8265452980995178,11.866438865661621,240.0,0.049443495273590085,-0.004385999403893948,0.091730035841465,-0.013194391503930092,0.0,0.5,0.1,20000.0,0.1802069991827011,0.06925347447395325,9.55613899230957,0.4965941905975342,0.2916666567325592,0.017710434272885323
18432,-1.165235996246338,-0.0033050666097551584,-0.00579833984375,-0.004061579704284668,0.1,0.9,0.0,0.005767822265625,-0.04061579704284668,0.8193570375442505,12.750377655029297,240.0,0.05312657356262207,-0.004398901015520096,0.08251086622476578,-0.013260282576084137,0.0,0.5,0.1,20000.0,0.12760843336582184,0.045443542301654816,10.134166717529297,0.7143468260765076,0.11627907305955887,0.014403688721358776
20480,-0.6348928213119507,-0.0025797290727496147,-0.00238037109375,-0.005796712823212147,0.1,1.0,0.0,0.00238037109375,-0.05796712636947632,0.8135448694229126,9.91682243347168,240.0,0.041320093472798664,-0.0019776541739702225,0.05266350880265236,-0.013241691514849663,5e-05,0.5,0.1,20000.0,0.12116790562868118,0.054556041955947876,6.58297061920166,0.6930733919143677,0.0,0.014274226501584053
22528,0.03170705586671829,0.0024449764750897884,-0.002197265625,-0.005866158287972212,0.1,0.9277434863285529,0.0,0.002197265625,-0.05866158381104469,0.8121234178543091,8.300155639648438,240.0,0.03458398183186849,-0.0017810892313718796,0.0473991259932518,-0.013183871284127235,5e-05,0.5,0.1,20000.0,0.13859768211841583,0.06175459548830986,7.139156818389893,0.5807594060897827,0.0,0.01727437414228916
24576,1.5562469959259033,0.01710202731192112,-0.00494384765625,-0.006375147495418787,0.1,0.8607079764250578,0.0,0.00494384765625,-0.0637514740228653,0.8035680055618286,7.248990535736084,240.0,0.030204127232233684,-0.002522333525121212,0.06515508890151978,-0.013299412094056606,5e-05,0.5,0.1,20000.0,0.1417107731103897,0.056921787559986115,5.935579776763916,0.5071736574172974,0.0,0.015199685469269753
