step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy
2048,-11.081263542175293,-0.06575939059257507,-0.02081298828125,0.007369391620159149,0.1,0.1,0.0,0.020599365234375,0.07369391620159149,0.8649179935455322,21.087890625,240.0,0.0878662109375,-7.809419184923172e-05,0.3748484253883362,-0.011954722926020622
4096,-13.359945297241211,-0.07849566638469696,-0.02587890625,-0.018381774425506592,0.1,0.2,0.0,0.025665283203125,-0.18381772935390472,0.8647876977920532,23.080078125,240.0,0.0961669921875,-0.0013941191136837006,0.5844440460205078,-0.012102210894227028
6144,-11.78418254852295,-0.07088472694158554,-0.02117919921875,-0.025967033579945564,0.1,0.3,0.0,0.021148681640625,-0.25967034697532654,0.8594489097595215,22.798828125,240.0,0.0949951171875,-0.0025910520926117897,0.6534625887870789,-0.012158216908574104
8192,-9.33768367767334,-0.049207985401153564,-0.02374267578125,-0.015635672956705093,0.1,0.4,0.0,0.023712158203125,-0.15635672211647034,0.8525608777999878,25.6767578125,240.0,0.10698649088541666,-0.002510634483769536,0.608261227607727,-0.012537711299955845
10240,-7.091429710388184,-0.039471618831157684,-0.01593017578125,-0.0077558886259794235,0.1,0.5,0.0,0.01568603515625,-0.07755888253450394,0.847436249256134,22.2861328125,240.0,0.09285888671875,-0.003009337931871414,0.4442542791366577,-0.012678729370236397
12288,-7.884631156921387,-0.04444780945777893,-0.01715087890625,-0.01357657928019762,0.1,0.6,0.0,0.01708984375,-0.13576577603816986,0.8441112041473389,22.61328125,240.0,0.09422200520833333,-0.002427603118121624,0.45653262734413147,-0.012692549265921116
14336,-6.110189437866211,-0.03266017138957977,-0.01507568359375,-0.01251313928514719,0.1,0.7,0.0,0.0150146484375,-0.12513139843940735,0.8374261260032654,21.740234375,240.0,0.09058430989583334,-0.0017228852957487106,0.35162317752838135,-0.012830674648284912
16384,-6.713703632354736,-0.039755500853061676,-0.0126953125,-0.010152202099561691,0.1,0.8,0.0,0.0126953125,-0.10152201354503632,0.8320360779762268,20.7978515625,240.0,0.08665771484375,-0.0037047257646918297,0.3002574145793915,-0.012920971028506756
18432,-4.326384544372559,-0.026109449565410614,-0.0076904296875,-0.008998023346066475,0.1,0.9,0.0,0.0076904296875,-0.08998023718595505,0.831497073173523,19.6796875,240.0,0.08199869791666667,-0.003848160384222865,0.19388553500175476,-0.013081210665404797
20480,-4.446905612945557,-0.02613549306988716,-0.00860595703125,-0.006821218878030777,0.1,1.0,0.0,0.00860595703125,-0.06821218132972717,0.8222119808197021,21.658203125,240.0,0.09024251302083333,-0.004362571053206921,0.17620252072811127,-0.013098862022161484
22528,-4.589310646057129,-0.03164256364107132,-0.00421142578125,-0.006157677620649338,0.1,0.9277434863285529,0.0,0.00421142578125,-0.06157677620649338,0.8185210227966309,19.5263671875,240.0,0.08135986328125,-0.0029191365465521812,0.13123029470443726,-0.013245312497019768
24576,-2.946533203125,-0.019723892211914062,-0.0032958984375,-0.0049306293949484825,0.1,0.8607079764250578,0.0,0.003265380859375,-0.049306295812129974,0.8178858757019043,21.3955078125,240.0,0.08914794921875,-0.0022338414564728737,0.1183033287525177,-0.01313227042555809
26624,-1.9994248151779175,-0.01482704933732748,-0.00079345703125,-0.004020418971776962,0.1,0.7985162187593771,0.0,0.00079345703125,-0.040204185992479324,0.8108820915222168,22.0478515625,240.0,0.09186604817708334,-0.0009171348065137863,0.0667552798986435,-0.013197822496294975
28672,-0.3396073877811432,-0.001554549322463572,-0.0010986328125,-0.0033766336273401976,0.1,0.7408182206817179,0.0,0.0010986328125,-0.03376633673906326,0.8028073906898499,23.4326171875,240.0,0.09763590494791667,-0.002850072458386421,0.0570865198969841,-0.013282353058457375
