step,action_alignment,reward_guide
2048,-0.06669202446937561,-0.006669202819466591
4096,-0.03713914752006531,-0.0037139146588742733
6144,-0.04661259800195694,-0.004661260172724724
8192,-0.06889784336090088,-0.00688978424295783
10240,-0.06803987920284271,-0.006803987547755241
12288,-0.05443847179412842,-0.005443847272545099
14336,-0.06356776505708694,-0.006356776691973209
16384,-0.05699160322546959,-0.005699160508811474
18432,-0.04837102070450783,-0.004837102256715298
20480,-0.05118052661418915,-0.005118052940815687
22528,-0.035820603370666504,-0.003582060569897294
24576,-0.02106267213821411,-0.00210626726038754
26624,-0.018594764173030853,-0.0018594765570014715
28672,-0.025155236944556236,-0.0025155236944556236
30720,-0.02889816090464592,-0.002889815950766206
32768,-0.014934194274246693,-0.0014934195205569267
34816,-0.0027406862936913967,-0.0002740686177276075
36864,-0.02773045375943184,-0.0027730450965464115
38912,-0.014891650527715683,-0.0014891651226207614
40960,0.009963978081941605,0.0009963978081941605
43008,0.004593188874423504,0.0004593188059516251
45056,0.027445830404758453,0.002744582947343588
47104,0.03442000597715378,0.003442000597715378
49152,0.036356665194034576,0.0036356663331389427
51200,0.03504354879260063,0.0035043549723923206
53248,0.025134053081274033,0.0025134054012596607
55296,0.040613431483507156,0.004061343148350716
57344,0.04066763073205948,0.004066763445734978
59392,0.037899188697338104,0.003789918962866068
61440,0.04973292723298073,0.00497329281643033
63488,0.036972448229789734,0.0036972451489418745
65536,0.04891417175531387,0.00489141745492816
67584,0.06742537021636963,0.006742536090314388
69632,0.05708968639373779,0.0057089682668447495
71680,0.0489659309387207,0.004896593280136585
73728,0.045989740639925,0.004598974250257015
75776,0.03425067663192749,0.003425067523494363
77824,0.03522062301635742,0.0035220622085034847
79872,0.01581806130707264,0.0015818061074241996
81920,0.023346617817878723,0.0023346617817878723
83968,0.012985657900571823,0.0012985656503587961
86016,0.02320917695760727,0.002320917323231697
88064,0.008125639520585537,0.0008125639869831502
90112,0.018567398190498352,0.0018567400984466076
92160,0.029547641053795815,0.0029547642916440964
94208,0.015966622158885002,0.0015966624487191439
96256,0.0325409471988678,0.003254094859585166
98304,0.013450486585497856,0.0013450486585497856
100352,0.016723351553082466,0.0016723353182896972
102400,0.01630581170320511,0.0016305814497172832
