step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,240.0,1.0,240.0,240.0
4096,240.0,1.0,240.0,240.0
6144,240.0,1.0,240.0,240.0
8192,240.0,1.0,240.0,240.0
10240,240.0,1.0,240.0,240.0
12288,240.0,1.0,240.0,240.0
14336,240.0,1.0,240.0,240.0
16384,240.0,1.0,240.0,240.0
18432,240.0,1.0,240.0,240.0
20480,240.0,1.0,240.0,240.0
22528,240.0,1.0,240.0,240.0
24576,240.0,1.0,240.0,240.0
26624,240.0,1.0,240.0,240.0
28672,240.0,1.0,240.0,240.0
30720,240.0,1.0,240.0,240.0
32768,240.0,1.0,240.0,240.0
34816,240.0,1.0,240.0,240.0
36864,240.0,1.0,240.0,240.0
38912,240.0,1.0,240.0,240.0
40960,240.0,1.0,240.0,240.0
43008,240.0,1.0,240.0,240.0
45056,240.0,1.0,240.0,240.0
47104,240.0,1.0,240.0,240.0
49152,240.0,1.0,240.0,240.0
51200,240.0,1.0,240.0,240.0
53248,240.0,1.0,240.0,240.0
55296,240.0,1.0,240.0,240.0
57344,240.0,1.0,240.0,240.0
59392,240.0,1.0,240.0,240.0
61440,240.0,1.0,240.0,240.0
63488,240.0,1.0,240.0,240.0
65536,240.0,1.0,240.0,240.0
67584,240.0,1.0,240.0,240.0
69632,240.0,1.0,240.0,240.0
71680,240.0,1.0,240.0,240.0
73728,240.0,1.0,240.0,240.0
75776,240.0,1.0,240.0,240.0
77824,240.0,1.0,240.0,240.0
79872,240.0,1.0,240.0,240.0
81920,240.0,1.0,240.0,240.0
83968,240.0,1.0,240.0,240.0
86016,240.0,1.0,240.0,240.0
88064,240.0,1.0,240.0,240.0
90112,240.0,1.0,240.0,240.0
92160,240.0,1.0,240.0,240.0
94208,240.0,1.0,240.0,240.0
96256,240.0,1.0,240.0,240.0
98304,240.0,1.0,240.0,240.0
100352,240.0,1.0,240.0,240.0
102400,240.0,1.0,240.0,240.0
