step,action_alignment,reward_guide
2048,0.00475687813013792,0.00047568778973072767
4096,-0.01192998792976141,-0.0011929990723729134
6144,-0.041255515068769455,-0.004125551786273718
8192,-0.018953809514641762,-0.001895381137728691
10240,-0.03463830053806305,-0.0034638303332030773
12288,-0.01536034420132637,-0.0015360342804342508
14336,-0.02256782352924347,-0.0022567822597920895
16384,-0.03634069487452507,-0.0036340695805847645
18432,-0.04730945825576782,-0.00473094591870904
20480,-0.05287109687924385,-0.0052871098741889
22528,-0.05821949243545532,-0.005821948871016502
24576,-0.08239593356847763,-0.008239593356847763
26624,-0.08331915736198425,-0.008331915363669395
28672,-0.09276174753904343,-0.009276174008846283
30720,-0.11666131019592285,-0.0116661312058568
32768,-0.09331462532281876,-0.009331462904810905
34816,-0.10479274392127991,-0.010479274205863476
36864,-0.10850787162780762,-0.010850788094103336
38912,-0.1278780698776245,-0.01278780773282051
40960,-0.1165410578250885,-0.011654105968773365
43008,-0.10358791798353195,-0.010358791798353195
45056,-0.11601801216602325,-0.011601801961660385
47104,-0.10668778419494629,-0.010668777860701084
49152,-0.12485760450363159,-0.012485761195421219
51200,-0.11300349235534668,-0.011300349608063698
53248,-0.12618985772132874,-0.012618986889719963
55296,-0.11680562794208527,-0.011680563911795616
57344,-0.134784996509552,-0.013478499837219715
59392,-0.12745045125484467,-0.012745045125484467
61440,-0.13881659507751465,-0.013881660997867584
63488,-0.14834657311439514,-0.014834659174084663
65536,-0.1337202489376068,-0.013372024521231651
67584,-0.11676335334777832,-0.011676335707306862
69632,-0.11828826367855072,-0.011828825809061527
71680,-0.1036507785320282,-0.01036507822573185
73728,-0.1181221753358841,-0.01181221753358841
75776,-0.14304745197296143,-0.014304744079709053
77824,-0.10917149484157562,-0.010917149484157562
79872,-0.11060291528701782,-0.011060291901230812
81920,-0.11515657603740692,-0.011515658348798752
83968,-0.10343047231435776,-0.01034304779022932
86016,-0.10650855302810669,-0.010650855489075184
88064,-0.09555535763502121,-0.009555535390973091
90112,-0.08839622884988785,-0.0088396230712533
92160,-0.07222174108028412,-0.007222174201160669
94208,-0.06436847895383835,-0.00643684808164835
96256,-0.061015963554382324,-0.006101596634835005
98304,-0.05308069661259651,-0.005308069754391909
100352,-0.04080094397068024,-0.004080094397068024
102400,-0.027547843754291534,-0.002754784654825926
