step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,217.916015625,0.9079833984375,217.916015625,240.0
4096,217.841796875,0.9076741536458334,217.841796875,240.0
6144,211.306640625,0.8804443359375,211.306640625,240.0
8192,210.1044921875,0.8754353841145833,210.1044921875,240.0
10240,219.326171875,0.9138590494791666,219.326171875,240.0
12288,215.875,0.8994791666666667,215.875,240.0
14336,218.6171875,0.9109049479166667,218.6171875,240.0
16384,216.8544921875,0.9035603841145833,216.8544921875,240.0
18432,224.8466796875,0.9368611653645833,224.8466796875,240.0
20480,228.703125,0.9529296875,228.703125,240.0
22528,232.1748046875,0.96739501953125,232.1748046875,240.0
24576,235.166015625,0.9798583984375,235.166015625,240.0
26624,236.25,0.984375,236.25,240.0
28672,235.4130859375,0.9808878580729167,235.4130859375,240.0
30720,237.630859375,0.9901285807291667,237.630859375,240.0
32768,235.7734375,0.9823893229166667,235.7734375,240.0
34816,237.50390625,0.989599609375,237.50390625,240.0
36864,237.24609375,0.988525390625,237.24609375,240.0
38912,238.1220703125,0.99217529296875,238.1220703125,240.0
40960,237.53515625,0.9897298177083333,237.53515625,240.0
43008,237.359375,0.9889973958333333,237.359375,240.0
45056,237.484375,0.9895182291666667,237.484375,240.0
47104,238.15625,0.9923177083333333,238.15625,240.0
49152,238.87109375,0.9952962239583333,238.87109375,240.0
51200,238.3544921875,0.9931437174479166,238.3544921875,240.0
53248,238.8876953125,0.9953653971354167,238.8876953125,240.0
55296,237.474609375,0.9894775390625,237.474609375,240.0
57344,237.5595703125,0.98983154296875,237.5595703125,240.0
59392,237.3662109375,0.98902587890625,237.3662109375,240.0
61440,237.3310546875,0.98887939453125,237.3310546875,240.0
63488,237.82421875,0.9909342447916667,237.82421875,240.0
65536,237.29296875,0.988720703125,237.29296875,240.0
67584,236.0693359375,0.9836222330729166,236.0693359375,240.0
69632,237.6689453125,0.9902872721354167,237.6689453125,240.0
71680,238.40234375,0.9933430989583333,238.40234375,240.0
73728,237.220703125,0.9884195963541667,237.220703125,240.0
75776,238.4990234375,0.9937459309895833,238.4990234375,240.0
77824,238.1962890625,0.9924845377604167,238.1962890625,240.0
79872,238.7001953125,0.9945841471354167,238.7001953125,240.0
81920,239.048828125,0.9960367838541667,239.048828125,240.0
83968,238.3935546875,0.9933064778645834,238.3935546875,240.0
86016,238.2880859375,0.9928670247395833,238.2880859375,240.0
88064,237.5908203125,0.9899617513020833,237.5908203125,240.0
90112,238.3974609375,0.99332275390625,238.3974609375,240.0
92160,239.05859375,0.9960774739583333,239.05859375,240.0
94208,238.373046875,0.9932210286458333,238.373046875,240.0
96256,238.1015625,0.99208984375,238.1015625,240.0
98304,238.5283203125,0.9938680013020833,238.5283203125,240.0
100352,238.462890625,0.9935953776041667,238.462890625,240.0
102400,237.3271484375,0.9888631184895833,237.3271484375,240.0
