step,action_alignment,reward_guide
2048,0.00542846554890275,0.0005428465083241463
4096,-0.02359693869948387,-0.002359693869948387
6144,-0.03629127889871597,-0.0036291279830038548
8192,-0.01164918951690197,-0.001164918881841004
10240,-0.05330523103475571,-0.005330523010343313
12288,-0.031954728066921234,-0.0031954729929566383
14336,-0.02890281192958355,-0.0028902811463922262
16384,-0.0328286811709404,-0.0032828685361891985
18432,-0.05617525056004524,-0.005617525428533554
20480,-0.057143423706293106,-0.005714341998100281
22528,-0.07368500530719757,-0.007368501275777817
24576,-0.09788713604211807,-0.009788714349269867
26624,-0.07091017067432404,-0.007091018371284008
28672,-0.06998753547668457,-0.006998754106462002
30720,-0.11005082726478577,-0.011005084030330181
32768,-0.07661250978708267,-0.007661251351237297
34816,-0.09296628832817078,-0.009296628646552563
36864,-0.09575603902339935,-0.00957560446113348
38912,-0.13037729263305664,-0.013037730008363724
40960,-0.12288764119148254,-0.012288764119148254
43008,-0.11203284561634064,-0.011203285306692123
45056,-0.12212079763412476,-0.01221207994967699
47104,-0.10698726773262024,-0.010698726400732994
49152,-0.1270236223936081,-0.01270236261188984
51200,-0.125951886177063,-0.012595189735293388
53248,-0.14195406436920166,-0.014195406809449196
55296,-0.1579664647579193,-0.01579664647579193
57344,-0.17272691428661346,-0.017272692173719406
59392,-0.17479953169822693,-0.017479954287409782
61440,-0.1585724949836731,-0.01585724949836731
63488,-0.17802834510803223,-0.017802834510803223
65536,-0.1593884527683258,-0.01593884453177452
67584,-0.13796372711658478,-0.013796373270452023
69632,-0.15702837705612183,-0.015702838078141212
71680,-0.12583594024181366,-0.012583594769239426
73728,-0.12824895977973938,-0.012824894860386848
75776,-0.141185000538826,-0.014118500053882599
77824,-0.12762121856212616,-0.012762121856212616
79872,-0.11996249854564667,-0.011996248736977577
81920,-0.13903993368148804,-0.013903994113206863
83968,-0.1295199990272522,-0.012952001765370369
86016,-0.11580495536327362,-0.011580495163798332
88064,-0.09337024390697479,-0.009337024763226509
90112,-0.06903362274169922,-0.006903362460434437
92160,-0.0923471674323082,-0.00923471711575985
94208,-0.09258162975311279,-0.00925816223025322
96256,-0.06734412908554077,-0.006734413560479879
98304,-0.08245819061994553,-0.008245819248259068
100352,-0.09568220376968384,-0.009568220935761929
102400,-0.09934605658054352,-0.009934606030583382
