step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy
2048,-7.901083946228027,-0.028524093329906464,-0.033203125,0.0005428465083241463,0.1,0.1,0.0,0.032745361328125,0.00542846554890275,0.8518062829971313,240.0,240.0,1.0,-0.0017040092498064041,0.36902207136154175,-0.013081565499305725
4096,-4.825916767120361,-0.009199057705700397,-0.02850341796875,-0.002359693869948387,0.1,0.2,0.0,0.028350830078125,-0.02359693869948387,0.8473690748214722,240.0,240.0,1.0,-0.0030905106104910374,0.3072666525840759,-0.01314848568290472
6144,-3.9419078826904297,-0.011997329071164131,-0.018798828125,-0.0036291279830038548,0.1,0.3,0.0,0.01861572265625,-0.03629127889871597,0.8452085256576538,240.0,240.0,1.0,-0.0030414611101150513,0.20511548221111298,-0.013189142569899559
8192,-3.932760715484619,-0.016991784796118736,-0.01373291015625,-0.001164918881841004,0.1,0.4,0.0,0.01373291015625,-0.01164918951690197,0.8407881259918213,240.0,240.0,1.0,-0.0036189511884003878,0.16248877346515656,-0.013337130658328533
10240,-2.3031511306762695,-0.0012087009381502867,-0.01678466796875,-0.005330523010343313,0.1,0.5,0.0,0.016632080078125,-0.05330523103475571,0.836987316608429,240.0,240.0,1.0,-0.0029413308948278427,0.16360369324684143,-0.013286838307976723
12288,-2.474797248840332,-0.006089726462960243,-0.01324462890625,-0.0031954729929566383,0.1,0.6,0.0,0.01324462890625,-0.031954728066921234,0.8337905406951904,240.0,240.0,1.0,-0.004740210250020027,0.14461854100227356,-0.013453450985252857
14336,-0.3095642924308777,0.005882310681045055,-0.00830078125,-0.0028902811463922262,0.1,0.7,0.0,0.00811767578125,-0.02890281192958355,0.8244777321815491,240.0,240.0,1.0,-0.004237255081534386,0.10026185214519501,-0.013278761878609657
16384,0.6482313871383667,0.01232749130576849,-0.00726318359375,-0.0032828685361891985,0.1,0.8,0.0,0.007232666015625,-0.0328286811709404,0.8220311999320984,240.0,240.0,1.0,-0.003254702314734459,0.07694138586521149,-0.013218045234680176
18432,0.9691728949546814,0.012759651988744736,-0.00518798828125,-0.005617525428533554,0.1,0.9,0.0,0.00518798828125,-0.05617525056004524,0.8210486769676208,240.0,240.0,1.0,-0.0006428901106119156,0.058749184012413025,-0.01314789429306984
20480,1.0738959312438965,0.011014322750270367,-0.00262451171875,-0.005714341998100281,0.1,1.0,0.0,0.00262451171875,-0.057143423706293106,0.8208017945289612,240.0,240.0,1.0,-0.002985715866088867,0.03268154338002205,-0.013232657685875893
22528,3.1551876068115234,0.029349610209465027,-0.00469970703125,-0.007368501275777817,0.1,0.9277434863285529,0.0,0.00469970703125,-0.07368500530719757,0.8137128353118896,240.0,240.0,1.0,-0.0033893007785081863,0.06398022174835205,-0.0130544975399971
24576,3.849087715148926,0.03306172043085098,-0.00299072265625,-0.009788714349269867,0.1,0.8607079764250578,0.0,0.00299072265625,-0.09788713604211807,0.8091839551925659,240.0,240.0,1.0,-0.0013516554608941078,0.07355640828609467,-0.013001983985304832
26624,4.391365051269531,0.03711515665054321,-0.0028076171875,-0.007091018371284008,0.1,0.7985162187593771,0.0,0.0028076171875,-0.07091017067432404,0.8056338429450989,240.0,240.0,1.0,0.001482006162405014,0.07709536701440811,-0.012968668714165688
28672,4.185876846313477,0.035265639424324036,-0.0025634765625,-0.006998754106462002,0.1,0.7408182206817179,0.0,0.0025634765625,-0.06998753547668457,0.7996237874031067,240.0,240.0,1.0,-0.001228542998433113,0.07015407085418701,-0.01291274931281805
30720,5.254443168640137,0.04373588413000107,-0.002685546875,-0.011005084030330181,0.1,0.6872892787909722,0.0,0.002685546875,-0.11005082726478577,0.8013563752174377,240.0,240.0,1.0,-0.0011115949600934982,0.11731033027172089,-0.013014772906899452
32768,5.411690711975098,0.04453713819384575,-0.00225830078125,-0.007661251351237297,0.1,0.6376281516217733,0.0,0.00225830078125,-0.07661250978708267,0.7979093790054321,240.0,240.0,1.0,-0.0016411487013101578,0.09853637963533401,-0.012894021347165108
34816,5.671915531158447,0.04766877740621567,-0.00335693359375,-0.009296628646552563,0.1,0.5915553643668151,0.0,0.00335693359375,-0.09296628832817078,0.7923688888549805,240.0,240.0,1.0,0.00039018644019961357,0.16654077172279358,-0.012827519327402115
36864,6.316882610321045,0.05380621552467346,-0.00445556640625,-0.00957560446113348,0.1,0.5488116360940264,0.0,0.00445556640625,-0.09575603902339935,0.7907955050468445,240.0,240.0,1.0,-0.0006568264216184616,0.16908717155456543,-0.012760698795318604
38912,6.437315940856934,0.056089870631694794,-0.00579833984375,-0.013037730008363724,0.1,0.5091564206075492,0.0,0.005706787109375,-0.13037729263305664,0.7898277640342712,240.0,240.0,1.0,0.0006896220147609711,0.20639227330684662,-0.012781236320734024
40960,6.9046549797058105,0.05827611684799194,-0.00433349609375,-0.012288764119148254,0.1,0.4723665527410147,0.0,0.00433349609375,-0.12288764119148254,0.7757347822189331,240.0,240.0,1.0,0.00018298253417015076,0.22386902570724487,-0.012700235471129417
43008,7.057470321655273,0.057822033762931824,-0.002685546875,-0.011203285306692123,0.1,0.4382349924649492,0.0,0.002685546875,-0.11203284561634064,0.7763623595237732,240.0,240.0,1.0,0.000163947232067585,0.16814878582954407,-0.01272815652191639
45056,7.444021224975586,0.061513349413871765,-0.00335693359375,-0.01221207994967699,0.1,0.40656965974059917,0.0,0.00335693359375,-0.12212079763412476,0.7709018588066101,240.0,240.0,1.0,-0.0015626437962055206,0.16817189753055573,-0.012728534638881683
47104,6.278862476348877,0.0539974607527256,-0.00494384765625,-0.010698726400732994,0.1,0.3771923535631569,0.0,0.00494384765625,-0.10698726773262024,0.7677619457244873,240.0,240.0,1.0,-0.0013660788536071777,0.12511935830116272,-0.012698587030172348
49152,6.667308807373047,0.05599460378289223,-0.00390625,-0.01270236261188984,0.1,0.34993774911115544,0.0,0.00390625,-0.1270236223936081,0.769934356212616,240.0,240.0,1.0,-0.0010709594935178757,0.144394189119339,-0.012583734467625618
51200,6.729700088500977,0.05501718446612358,-0.00244140625,-0.012595189735293388,0.1,0.32465246735834974,0.0,0.00244140625,-0.125951886177063,0.7608821392059326,240.0,240.0,1.0,-0.0005608964711427689,0.13523757457733154,-0.012707890942692757
53248,6.317553997039795,0.0526517890393734,-0.0032958984375,-0.014195406809449196,0.1,0.301194211912202,0.0,0.0032958984375,-0.14195406436920166,0.75905841588974,240.0,240.0,1.0,-0.0019696103408932686,0.13471990823745728,-0.012503526173532009
55296,7.049005508422852,0.056107956916093826,-0.00103759765625,-0.01579664647579193,0.1,0.27943096822140734,0.0,0.00103759765625,-0.1579664647579193,0.7530835866928101,240.0,240.0,1.0,-0.0012379847466945648,0.13134823739528656,-0.012519361451268196
57344,6.242388725280762,0.05236973986029625,-0.00360107421875,-0.017272692173719406,0.1,0.2592402606458915,0.0,0.00360107421875,-0.17272691428661346,0.749782919883728,240.0,240.0,1.0,0.0002305302768945694,0.12294208258390427,-0.012452252209186554
59392,6.5346784591674805,0.05318840593099594,-0.00213623046875,-0.017479954287409782,0.1,0.24050846320834218,0.0,0.00213623046875,-0.17479953169822693,0.748790979385376,240.0,240.0,1.0,-0.0003479272127151489,0.11157861351966858,-0.012515444308519363
61440,6.4136810302734375,0.05102240666747093,-0.00091552734375,-0.01585724949836731,0.1,0.22313016014842982,0.0,0.00091552734375,-0.1585724949836731,0.7458896636962891,240.0,240.0,1.0,-0.0015598349273204803,0.10767064243555069,-0.012597525492310524
63488,7.025638580322266,0.0580616369843483,-0.003173828125,-0.017802834510803223,0.1,0.2070075526811526,0.0,0.003173828125,-0.17802834510803223,0.7436860799789429,240.0,240.0,1.0,0.0005139773711562157,0.09484896063804626,-0.01241656020283699
65536,7.027108669281006,0.05709655210375786,-0.002197265625,-0.01593884453177452,0.1,0.19204990862075408,0.0,0.002197265625,-0.1593884527683258,0.7345553636550903,240.0,240.0,1.0,-0.00014409562572836876,0.10370156168937683,-0.012491479516029358
67584,6.6264753341674805,0.05378349870443344,-0.00201416015625,-0.013796373270452023,0.1,0.17817305177289844,0.0,0.00201416015625,-0.13796372711658478,0.7325056791305542,240.0,240.0,1.0,-0.0017541684210300446,0.1471501886844635,-0.012393087148666382
69632,7.370779514312744,0.06026976928114891,-0.002685546875,-0.015702838078141212,0.1,0.16529888822158656,0.0,0.002685546875,-0.15702837705612183,0.72731614112854,240.0,240.0,1.0,-0.0015395060181617737,0.14947669208049774,-0.012323454022407532
71680,7.513485908508301,0.0610184520483017,-0.0023193359375,-0.012583594769239426,0.1,0.15335496684492847,0.0,0.0023193359375,-0.12583594024181366,0.7272964715957642,240.0,240.0,1.0,-0.0001882016658782959,0.1189384013414383,-0.01216871663928032
73728,7.380842208862305,0.059310778975486755,-0.00164794921875,-0.012824894860386848,0.1,0.14227407158651353,0.0,0.00164794921875,-0.12824895977973938,0.7232517004013062,240.0,240.0,1.0,-0.0014163441956043243,0.09153765439987183,-0.012234438210725784
