step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,106.9765625,0.44573567708333334,106.9765625,240.0
4096,107.234375,0.44680989583333336,107.234375,240.0
6144,96.068359375,0.40028483072916665,96.068359375,240.0
8192,93.55078125,0.389794921875,93.55078125,240.0
10240,100.224609375,0.4176025390625,100.224609375,240.0
12288,98.9091796875,0.41212158203125,98.9091796875,240.0
14336,104.4013671875,0.4350056966145833,104.4013671875,240.0
16384,101.7490234375,0.42395426432291666,101.7490234375,240.0
18432,106.3447265625,0.44310302734375,106.3447265625,240.0
20480,113.1123046875,0.47130126953125,113.1123046875,240.0
22528,122.623046875,0.5109293619791667,122.623046875,240.0
24576,126.3994140625,0.5266642252604167,126.3994140625,240.0
26624,130.6904296875,0.54454345703125,130.6904296875,240.0
28672,123.7236328125,0.51551513671875,123.7236328125,240.0
30720,135.2333984375,0.5634724934895833,135.2333984375,240.0
32768,127.251953125,0.5302164713541667,127.251953125,240.0
34816,139.46484375,0.581103515625,139.46484375,240.0
36864,132.857421875,0.5535725911458333,132.857421875,240.0
38912,139.2685546875,0.58028564453125,139.2685546875,240.0
40960,143.9677734375,0.59986572265625,143.9677734375,240.0
43008,141.9658203125,0.5915242513020833,141.9658203125,240.0
45056,136.7060546875,0.5696085611979167,136.7060546875,240.0
47104,144.8076171875,0.6033650716145833,144.8076171875,240.0
49152,144.4697265625,0.6019571940104167,144.4697265625,240.0
51200,146.3251953125,0.6096883138020833,146.3251953125,240.0
53248,156.6923828125,0.6528849283854167,156.6923828125,240.0
55296,148.546875,0.6189453125,148.546875,240.0
57344,147.34765625,0.6139485677083333,147.34765625,240.0
59392,150.306640625,0.6262776692708333,150.306640625,240.0
61440,141.2099609375,0.5883748372395833,141.2099609375,240.0
63488,149.4658203125,0.6227742513020833,149.4658203125,240.0
65536,148.3701171875,0.6182088216145833,148.3701171875,240.0
67584,141.7353515625,0.59056396484375,141.7353515625,240.0
69632,149.9765625,0.62490234375,149.9765625,240.0
71680,151.38671875,0.6307779947916666,151.38671875,240.0
73728,144.232421875,0.6009684244791667,144.232421875,240.0
75776,150.2021484375,0.62584228515625,150.2021484375,240.0
77824,146.7734375,0.6115559895833333,146.7734375,240.0
79872,146.208984375,0.6092041015625,146.208984375,240.0
81920,148.1474609375,0.6172810872395833,148.1474609375,240.0
83968,149.3291015625,0.62220458984375,149.3291015625,240.0
86016,142.1494140625,0.5922892252604167,142.1494140625,240.0
88064,139.7705078125,0.5823771158854166,139.7705078125,240.0
90112,145.48046875,0.6061686197916667,145.48046875,240.0
92160,140.2939453125,0.58455810546875,140.2939453125,240.0
94208,133.8056640625,0.5575236002604167,133.8056640625,240.0
96256,133.2744140625,0.55531005859375,133.2744140625,240.0
98304,140.328125,0.5847005208333333,140.328125,240.0
100352,135.00390625,0.5625162760416667,135.00390625,240.0
102400,129.486328125,0.5395263671875,129.486328125,240.0
