step,action_alignment,reward_guide
2048,-0.014177991077303886,0.0
4096,-0.023917898535728455,0.0
6144,-0.012551214545965195,0.0
8192,0.00954294204711914,0.0
10240,0.038029611110687256,0.0
12288,0.04854310303926468,0.0
14336,0.07985955476760864,0.0
16384,0.10743710398674011,0.0
18432,0.11627599596977234,0.0
20480,0.1379568874835968,0.0
22528,0.15266506373882294,0.0
24576,0.13183553516864777,0.0
26624,0.1354846954345703,0.0
28672,0.13172972202301025,0.0
30720,0.1416444629430771,0.0
32768,0.11625328660011292,0.0028289747424423695
34816,0.17136824131011963,0.003588910913094878
36864,0.16815759241580963,0.003244912950322032
38912,0.18511588871479034,0.0032118838280439377
40960,0.2037087380886078,0.003170127049088478
43008,0.2121199071407318,0.002997860312461853
45056,0.22179079055786133,0.002841740846633911
47104,0.23071810603141785,0.002682171296328306
49152,0.2196233570575714,0.0023772609420120716
51200,0.23167407512664795,0.002266166266053915
53248,0.2207646369934082,0.002010211581364274
55296,0.200972318649292,0.0017223303439095616
57344,0.1863497793674469,0.0014926560688763857
59392,0.16713610291481018,0.0012578016612678766
61440,0.18024057149887085,0.001225410494953394
63488,0.21359804272651672,0.0012786723673343658
65536,0.20392148196697235,0.001134255900979042
67584,0.15103378891944885,0.0008223020704463124
69632,0.15747740864753723,0.0007809828384779394
71680,0.12167081236839294,0.0005773778539150953
73728,0.08439368009567261,0.00038635695818811655
75776,0.03751535713672638,0.00018053977692034096
77824,0.052865877747535706,0.00025035539874807
79872,0.06423430144786835,0.0003005412872880697
81920,0.09453460574150085,0.00042798908543772995
83968,0.09691046178340912,0.0004375941352918744
86016,0.07912200689315796,0.0003643085656221956
88064,0.056144051253795624,0.0002649594680406153
90112,0.057782821357250214,0.00027221982600167394
92160,0.04982221871614456,0.00023669982329010963
94208,0.07531236112117767,0.0003482020692899823
96256,0.06970225274562836,0.00032421923242509365
98304,0.09119853377342224,0.0004144067643210292
100352,0.09325268119573593,0.0004227830795571208
102400,0.07629407942295074,0.00035236647818237543
