step,action_alignment,reward_guide
2048,0.0023248055949807167,0.00023248052457347512
4096,-0.03516899049282074,-0.0035168989561498165
6144,-0.03657146543264389,-0.0036571468226611614
8192,-0.039505526423454285,-0.003950552549213171
10240,0.009232204407453537,0.0009232205338776112
12288,-0.020557360723614693,-0.002055736258625984
14336,0.010056968778371811,0.0010056968312710524
16384,-0.05141567066311836,-0.005141566973179579
18432,-0.05029816925525665,-0.00502981711179018
20480,-0.07890245318412781,-0.007890245877206326
22528,-0.05375402420759201,-0.005375402979552746
24576,-0.09764637053012848,-0.009764636866748333
26624,-0.10490117967128754,-0.010490118525922298
28672,-0.054565735161304474,-0.00545657379552722
30720,-0.08818422257900238,-0.008818423375487328
32768,-0.052651964128017426,-0.005265196785330772
34816,-0.0747402235865593,-0.007474022451788187
36864,-0.07281019538640976,-0.007281020283699036
38912,-0.05752463638782501,-0.005752463825047016
40960,-0.10397185385227203,-0.010397186502814293
43008,-0.07726475596427917,-0.0077264755964279175
45056,-0.0872194692492485,-0.008721946738660336
47104,-0.08567037433385849,-0.00856703706085682
49152,-0.1004590094089508,-0.01004590094089508
51200,-0.11719638109207153,-0.011719639413058758
53248,-0.08658747375011444,-0.008658748120069504
55296,-0.09388837218284607,-0.009388837963342667
57344,-0.09922920912504196,-0.009922920726239681
59392,-0.10988776385784149,-0.010988777503371239
61440,-0.09116212278604507,-0.009116212837398052
63488,-0.08621107786893845,-0.008621107786893845
65536,-0.09599938988685608,-0.009599938988685608
67584,-0.10299897193908691,-0.010299897752702236
69632,-0.11669551581144333,-0.011669551953673363
71680,-0.08843666315078735,-0.008843667805194855
73728,-0.09638358652591705,-0.009638357907533646
75776,-0.08084183931350708,-0.008084184490144253
77824,-0.10908062756061554,-0.010908062569797039
79872,-0.08390574902296066,-0.008390575647354126
81920,-0.09981730580329895,-0.009981730952858925
83968,-0.10559780895709991,-0.010559780523180962
86016,-0.09871970862150192,-0.009871970862150192
88064,-0.09837144613265991,-0.009837145917117596
90112,-0.098020039498806,-0.00980200432240963
92160,-0.07420775294303894,-0.007420775014907122
94208,-0.10025407373905182,-0.010025408118963242
96256,-0.12257280200719833,-0.012257279828190804
98304,-0.09435050189495087,-0.009435050189495087
100352,-0.08663895726203918,-0.008663896471261978
102400,-0.09112174808979034,-0.009112175554037094
