step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-1.2935526371002197,-0.006443769671022892,-0.003662109375,0.00023248052457347512,0.1,0.1,0.0,0.003662109375,0.0023248055949807167,0.8548917770385742,-0.004136182367801666,0.04979884997010231,-0.013060344383120537
4096,-1.1668267250061035,0.0008939312538132071,-0.010009765625,-0.0035168989561498165,0.1,0.2,0.0,0.0098876953125,-0.03516899049282074,0.8509150147438049,-0.00015541398897767067,0.08803850412368774,-0.013122130185365677
6144,-1.5151073932647705,0.0042765033431351185,-0.01611328125,-0.0036571468226611614,0.1,0.3,0.0,0.0155029296875,-0.03657146543264389,0.8397990465164185,-0.003463171888142824,0.17416268587112427,-0.013080153614282608
8192,-0.7626876831054688,0.010154785588383675,-0.01611328125,-0.003950552549213171,0.1,0.4,0.0,0.01611328125,-0.039505526423454285,0.8521021008491516,-0.002810463309288025,0.14506271481513977,-0.012987290509045124
10240,0.5461533069610596,0.009149635210633278,-0.0048828125,0.0009232205338776112,0.1,0.5,0.0,0.0048828125,0.009232204407453537,0.8541957139968872,-0.009258578531444073,0.04974175617098808,-0.012930212542414665
12288,1.0029176473617554,0.013938809745013714,-0.006103515625,-0.002055736258625984,0.1,0.6,0.0,0.006103515625,-0.020557360723614693,0.8401685357093811,-0.002859928645193577,0.06658634543418884,-0.012952061370015144
14336,1.6182408332824707,0.018013600260019302,-0.00537109375,0.0010056968312710524,0.1,0.7,0.0,0.00537109375,0.010056968778371811,0.8321075439453125,-0.005443301051855087,0.04819689318537712,-0.012842713855206966
16384,1.113179326057434,0.01772991754114628,-0.009033203125,-0.005141566973179579,0.1,0.8,0.0,0.009033203125,-0.05141567066311836,0.8313336968421936,-0.010523831471800804,0.07262565195560455,-0.01266781147569418
18432,1.5778696537017822,0.016477497294545174,-0.004150390625,-0.00502981711179018,0.1,0.9,0.0,0.004150390625,-0.05029816925525665,0.8335698843002319,-0.0013340171426534653,0.053452447056770325,-0.012754222378134727
20480,1.9532638788223267,0.018189560621976852,-0.0029296875,-0.007890245877206326,0.1,1.0,0.0,0.0029296875,-0.07890245318412781,0.8339005708694458,-0.0061258357018232346,0.04767563194036484,-0.012556277215480804
22528,2.526815891265869,0.022670436650514603,-0.0029296875,-0.005375402979552746,0.1,0.9277434863285529,0.0,0.0029296875,-0.05375402420759201,0.8299241065979004,-0.002416270785033703,0.05362974852323532,-0.012452470138669014
24576,1.6744486093521118,0.021626552566885948,-0.008544921875,-0.009764636866748333,0.1,0.8607079764250578,0.0,0.008544921875,-0.09764637053012848,0.8296655416488647,-0.006966299843043089,0.09240932762622833,-0.012330921366810799
26624,1.7419276237487793,0.02288614958524704,-0.00927734375,-0.010490118525922298,0.1,0.7985162187593771,0.0,0.0091552734375,-0.10490117967128754,0.8368818163871765,-0.0056779393926262856,0.09611432254314423,-0.011921634897589684
