step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.9993622899055481,-0.004633690230548382,-0.003173828125,0.00022802280727773905,0.1,0.0,0.0,0.003173828125,0.0022802292369306087,0.86162269115448,-0.005260046571493149,0.02850303053855896,-0.012867551296949387
4096,-0.5904630422592163,0.0014905220596119761,-0.006103515625,-0.0012815240770578384,0.1,0.0,0.0,0.006103515625,-0.012815238907933235,0.8626089096069336,-0.0045019155368208885,0.057791583240032196,-0.012993303127586842
6144,-0.7517251372337341,0.010484566912055016,-0.016357421875,0.0004162428085692227,0.1,0.0,0.0,0.016357421875,0.004162428434938192,0.8446532487869263,-0.004574693739414215,0.18534216284751892,-0.013098614290356636
8192,-0.7008296847343445,0.008929064497351646,-0.014404296875,0.0014554060762748122,0.1,0.0,0.0,0.014404296875,0.014554060064256191,0.8490573167800903,-0.003426259383559227,0.11795741319656372,-0.012918482534587383
10240,0.44739609956741333,0.00911051593720913,-0.005615234375,0.0007566557032987475,0.1,0.0,0.0,0.005615234375,0.007566555868834257,0.8494936227798462,-0.007290670648217201,0.05717739462852478,-0.012806265614926815
12288,1.3985795974731445,0.014832654036581516,-0.00390625,0.0016970669385045767,0.1,0.0,0.0,0.00390625,0.016970669850707054,0.8360204696655273,-0.0019807759672403336,0.03623862937092781,-0.012604673393070698
14336,1.3029608726501465,0.01603875868022442,-0.005859375,-0.0018046509940177202,0.1,0.0,0.0,0.005859375,-0.018046509474515915,0.8322259187698364,-0.004485780373215675,0.06314242631196976,-0.012713897973299026
16384,1.05305814743042,0.015062953345477581,-0.0068359375,-0.002377801574766636,0.1,0.0,0.0,0.0068359375,-0.02377801388502121,0.8331310749053955,-0.006733603775501251,0.05649223178625107,-0.012674280442297459
18432,0.869683027267456,0.01631588488817215,-0.009521484375,-0.0026913685724139214,0.1,0.0,0.0,0.009521484375,-0.026913685724139214,0.8351096510887146,-0.0057233721017837524,0.10508253425359726,-0.012327936477959156
20480,0.7508634328842163,0.015143465250730515,-0.00927734375,-0.0017433629836887121,0.1,0.0,0.0,0.00927734375,-0.01743362843990326,0.8367580771446228,-0.0023008882999420166,0.10219135135412216,-0.012491813860833645
22528,1.6943511962890625,0.02153789810836315,-0.00830078125,-0.001953561557456851,0.1,0.0,0.0,0.0081787109375,-0.019535616040229797,0.8294795155525208,-0.0037099653854966164,0.10655762255191803,-0.012361765839159489
24576,1.2063260078430176,0.019678326323628426,-0.01025390625,0.0009757357183843851,0.1,0.0,0.0,0.010009765625,0.009757356718182564,0.8319838047027588,-0.003353164764121175,0.10244809836149216,-0.012262698262929916
26624,2.30749773979187,0.020957015454769135,-0.0029296875,-0.00010169611778110266,0.1,0.0,0.0,0.0029296875,-0.0010169624583795667,0.8280618190765381,-0.005862790625542402,0.06013809144496918,-0.01180068776011467
28672,2.0361294746398926,0.01590725965797901,0.0,0.0022488487884402275,0.1,0.0,0.0,0.0,0.022488486021757126,0.8224547505378723,-0.0006643314845860004,0.0387081652879715,-0.012161286547780037
30720,1.7279434204101562,0.018626511096954346,-0.005126953125,-0.00033616810105741024,0.1,0.0,0.0,0.005126953125,-0.0033616814762353897,0.8254110813140869,-0.007396310567855835,0.0870288610458374,-0.01220274344086647
32768,2.004807472229004,0.018836388364434242,-0.003173828125,-0.0010974283795803785,0.1,0.0,0.0,0.003173828125,-0.010974284261465073,0.8263378143310547,-0.0012187380343675613,0.0603942833840847,-0.0121605871245265
34816,1.671314001083374,0.01989307627081871,-0.0068359375,-0.0016925449017435312,0.1,0.0,0.0,0.0068359375,-0.016925448551774025,0.830661416053772,-0.003185763955116272,0.10276691615581512,-0.012475073337554932
36864,2.2683751583099365,0.02113964781165123,-0.00341796875,0.001595174428075552,0.1,0.0,0.0,0.00341796875,0.015951743349432945,0.8218916654586792,-0.0047219619154930115,0.06781037151813507,-0.012128680944442749
38912,2.763474702835083,0.021589644253253937,0.0,0.0016805825289338827,0.1,0.0,0.0,0.0,0.016805827617645264,0.8142467141151428,-0.004495205357670784,0.0518404096364975,-0.012510613538324833
40960,2.27382230758667,0.02020564302802086,-0.00244140625,0.0006607990944758058,0.1,0.0,0.0,0.00244140625,0.0066079916432499886,0.8224506378173828,-0.006281543523073196,0.06565399467945099,-0.012220501899719238
43008,1.5353302955627441,0.01712171919643879,-0.005126953125,0.002210896462202072,0.1,0.0,0.0,0.005126953125,0.02210896648466587,0.8197264671325684,-0.00880978349596262,0.10637065768241882,-0.012482400983572006
45056,2.5759315490722656,0.021345168352127075,-0.001220703125,0.0027726555708795786,0.1,0.0,0.0,0.001220703125,0.02772655338048935,0.8165477514266968,-0.0009561404585838318,0.06648863852024078,-0.012027166783809662
47104,2.633669137954712,0.021307960152626038,-0.000732421875,0.003036279696971178,0.1,0.0,0.0,0.000732421875,0.030362794175744057,0.8193563222885132,-0.004373060539364815,0.05513567477464676,-0.012090295553207397
49152,2.188906669616699,0.023204348981380463,-0.006103515625,0.0013403987977653742,0.1,0.0,0.0,0.005859375,0.01340398844331503,0.8262707591056824,-0.003304623067378998,0.08822103589773178,-0.011637168936431408
51200,2.3752222061157227,0.020021265372633934,-0.00146484375,0.005798124708235264,0.1,0.0,0.0,0.00146484375,0.05798124521970749,0.8231083154678345,-7.874146103858948e-05,0.05725265294313431,-0.0117173558101058
53248,2.766761302947998,0.023568447679281235,-0.001953125,0.005166808143258095,0.1,0.0,0.0,0.001953125,0.051668088883161545,0.830286979675293,-0.003467269241809845,0.0634506493806839,-0.01144917868077755
55296,2.395723342895508,0.020669713616371155,-0.001953125,0.007024957798421383,0.1,0.0,0.0,0.001953125,0.07024957984685898,0.8062032461166382,-0.001477360725402832,0.06874971836805344,-0.011582937091588974
57344,2.925917148590088,0.024811848998069763,-0.001953125,0.008583495393395424,0.1,0.0,0.0,0.001953125,0.08583495020866394,0.8169780969619751,-0.0004896447062492371,0.07388712465763092,-0.011235801503062248
59392,2.462002992630005,0.020943380892276764,-0.001708984375,0.003542089369148016,0.1,0.0,0.0,0.001708984375,0.035420894622802734,0.8093757033348083,-0.002158548217266798,0.06398311257362366,-0.011322454549372196
61440,3.0253801345825195,0.023635782301425934,0.0,0.003944814205169678,0.1,0.0,0.0,0.0,0.03944814205169678,0.8079793453216553,-0.004078615456819534,0.05225497484207153,-0.011483950540423393
63488,2.329927921295166,0.019667405635118484,-0.00146484375,0.010560532100498676,0.1,0.0,0.0,0.00146484375,0.10560531914234161,0.8059955835342407,-0.002898662816733122,0.06302860379219055,-0.011754169128835201
65536,2.19645357131958,0.02033362165093422,-0.003173828125,0.005502084270119667,0.1,0.0,0.0,0.003173828125,0.05502084270119667,0.8151675462722778,-0.006805821787565947,0.07005789875984192,-0.011679808609187603
67584,2.6156136989593506,0.022631745785474777,-0.002197265625,0.004539620131254196,0.1,0.0,0.0,0.002197265625,0.04539620131254196,0.8096985816955566,-0.00578324357047677,0.061631470918655396,-0.011558352038264275
69632,2.0646557807922363,0.016618404537439346,-0.00048828125,0.008188391104340553,0.1,0.0,0.0,0.00048828125,0.08188390731811523,0.8118428587913513,-0.005084505304694176,0.060305915772914886,-0.01143227145075798
71680,2.2854604721069336,0.01956414431333542,-0.001708984375,0.008784370496869087,0.1,0.0,0.0,0.001708984375,0.08784370124340057,0.7971809506416321,-0.0017287079244852066,0.052691638469696045,-0.011563390493392944
73728,2.0359208583831787,0.018102895468473434,-0.002197265625,0.009529327042400837,0.1,0.0,0.0,0.002197265625,0.09529326856136322,0.7960989475250244,-0.004291431978344917,0.060501888394355774,-0.011286085471510887
75776,2.059192657470703,0.017552286386489868,-0.00146484375,0.008475692942738533,0.1,0.0,0.0,0.00146484375,0.08475691825151443,0.7941275238990784,-0.006493326276540756,0.05976387858390808,-0.011805055662989616
77824,2.179652214050293,0.020202361047267914,-0.003173828125,0.006590305361896753,0.1,0.0,0.0,0.003173828125,0.06590305268764496,0.7946302890777588,-0.007817691192030907,0.0666729211807251,-0.011424176394939423
79872,2.3810157775878906,0.019334107637405396,-0.000732421875,0.011046589352190495,0.1,0.0,0.0,0.000732421875,0.1104658842086792,0.7934854030609131,-0.001970626413822174,0.04094449430704117,-0.011019321158528328
81920,2.70015287399292,0.022803928703069687,-0.001708984375,0.008860209956765175,0.1,0.0,0.0,0.001708984375,0.08860209584236145,0.7961012125015259,-0.004389733076095581,0.062389761209487915,-0.011117186397314072
83968,2.8185818195343018,0.02348501607775688,-0.00146484375,0.00931717362254858,0.1,0.0,0.0,0.00146484375,0.09317173063755035,0.8014206886291504,-0.003598499111831188,0.06999888271093369,-0.01058538444340229
86016,2.594482421875,0.021001817658543587,-0.000732421875,0.010591593571007252,0.1,0.0,0.0,0.000732421875,0.10591594129800797,0.7905206680297852,-0.0018890369683504105,0.05450497567653656,-0.01075039990246296
88064,3.3568687438964844,0.026957960799336433,-0.000732421875,0.006606142967939377,0.1,0.0,0.0,0.000732421875,0.06606142967939377,0.8138657808303833,0.0037432201206684113,0.05937071144580841,-0.010036353953182697
90112,2.9941909313201904,0.02461281791329384,-0.001220703125,0.0036652612034231424,0.1,0.0,0.0,0.001220703125,0.03665260970592499,0.8077970743179321,-0.0015390943735837936,0.06555161625146866,-0.010636395774781704
92160,2.8456735610961914,0.023452531546354294,-0.001220703125,0.008252380415797234,0.1,0.0,0.0,0.001220703125,0.08252380043268204,0.8153186440467834,-0.00560542568564415,0.06373019516468048,-0.010474609211087227
94208,2.5266292095184326,0.024133823812007904,-0.00439453125,0.006583146285265684,0.1,0.0,0.0,0.00439453125,0.06583146005868912,0.8121631145477295,-0.006615273654460907,0.11080562323331833,-0.0108107291162014
96256,2.8734641075134277,0.023425500839948654,-0.0009765625,0.0050768242217600346,0.1,0.0,0.0,0.0009765625,0.05076824128627777,0.8123630285263062,-0.007628127932548523,0.0623805895447731,-0.010201849043369293
98304,2.5584075450897217,0.0212082639336586,-0.001220703125,0.004725707229226828,0.1,0.0,0.0,0.001220703125,0.04725706949830055,0.7976138591766357,-0.005597606301307678,0.06473512947559357,-0.010581746697425842
100352,2.677293300628662,0.021404635161161423,-0.00048828125,0.0069000315852463245,0.1,0.0,0.0,0.00048828125,0.06900031864643097,0.8068350553512573,-0.0024055978283286095,0.058528512716293335,-0.01061992347240448
102400,2.9079012870788574,0.024915244430303574,-0.002197265625,0.00878992024809122,0.1,0.0,0.0,0.002197265625,0.08789920061826706,0.81087726354599,-0.006107548251748085,0.08549469709396362,-0.009814448654651642
