step,action_alignment,reward_guide
2048,0.0023258759174495935,0.0002325876266695559
4096,0.004799121990799904,0.00047991229803301394
6144,-0.04717649146914482,-0.004717648960649967
8192,-0.04280407726764679,-0.004280407913029194
10240,-0.05475597083568573,-0.0054755969904363155
12288,-0.04277680069208145,-0.004277680069208145
14336,-0.08949872106313705,-0.00894987303763628
16384,-0.07353495061397552,-0.007353495806455612
18432,-0.07851342856884003,-0.007851342670619488
20480,-0.07414499670267105,-0.0074144997633993626
