step,action_alignment,reward_guide
2048,-0.0988311618566513,-0.009883115999400616
4096,-0.06113702058792114,-0.006113701965659857
6144,-0.15718503296375275,-0.015718504786491394
8192,-0.10642269253730774,-0.010642269626259804
10240,-0.15866124629974365,-0.015866125002503395
12288,-0.1407928764820099,-0.014079286716878414
14336,-0.13900941610336304,-0.013900941237807274
16384,-0.11578621715307236,-0.011578621342778206
18432,-0.0705355778336525,-0.00705355778336525
20480,-0.07688933610916138,-0.007688933052122593
22528,-0.0590345561504364,-0.005903455428779125
24576,-0.06594248116016388,-0.006594248116016388
26624,-0.06735624372959137,-0.0067356242798268795
28672,-0.049525756388902664,-0.004952575545758009
30720,0.011127409525215626,0.0011127409525215626
32768,0.0024761161766946316,0.00024761154782027006
34816,-0.015082855708897114,-0.0015082857571542263
36864,-0.016995735466480255,-0.001699573826044798
38912,-0.0054097892716526985,-0.0005409789155237377
40960,-0.008008415810763836,-0.0008008417207747698
43008,-0.05975966900587082,-0.0059759668074548244
45056,-0.0051579163409769535,-0.0005157915293239057
47104,0.006186506245285273,0.0006186506361700594
49152,-0.014760782942175865,-0.0014760784106329083
51200,-0.0239231176674366,-0.0023923120461404324
53248,-0.06057063490152359,-0.006057063117623329
55296,-0.019062720239162445,-0.0019062720239162445
57344,0.0006602895446121693,6.602886423934251e-05
59392,-0.051319755613803864,-0.005131975281983614
61440,-0.02563438192009926,-0.002563438145443797
63488,-0.035226352512836456,-0.0035226349718868732
65536,-0.026750322431325912,-0.002675032475963235
67584,-0.057230204343795776,-0.005723020061850548
69632,-0.019415851682424545,-0.001941585331223905
71680,-0.0401487797498703,-0.004014877602458
73728,-0.04585983231663704,-0.004585983697324991
75776,-0.03928562253713608,-0.00392856216058135
77824,-0.08393090218305588,-0.008393090218305588
79872,-0.057945311069488525,-0.005794531665742397
81920,-0.04848315939307213,-0.004848316311836243
83968,-0.05795757472515106,-0.005795757751911879
86016,-0.021384110674262047,-0.002138411160558462
88064,-0.05688445270061493,-0.005688444711267948
90112,-0.03774239122867584,-0.003774238983169198
92160,-0.02498212270438671,-0.0024982125032693148
94208,-0.03939823433756828,-0.003939823713153601
96256,-0.017227444797754288,-0.0017227442003786564
98304,-0.06821034848690033,-0.006821035873144865
100352,-0.03144903481006622,-0.0031449035741388798
102400,-0.00410638190805912,-0.000410638254834339
