step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,0.619140625,0.051595052083333336,0.619140625,12.0
4096,0.6953125,0.057942708333333336,0.6953125,12.0
6144,0.8544921875,0.07120768229166667,0.8544921875,12.0
8192,0.8125,0.06770833333333333,0.8125,12.0
10240,1.087890625,0.09065755208333333,1.087890625,12.0
12288,1.3134765625,0.10945638020833333,1.3134765625,12.0
14336,1.1787109375,0.09822591145833333,1.1787109375,12.0
16384,1.16796875,0.09733072916666667,1.16796875,12.0
18432,1.0771484375,0.08976236979166667,1.0771484375,12.0
20480,0.5498046875,0.045817057291666664,0.5498046875,12.0
22528,0.9267578125,0.07722981770833333,0.9267578125,12.0
24576,0.5478515625,0.045654296875,0.5478515625,12.0
26624,0.5517578125,0.045979817708333336,0.5517578125,12.0
28672,1.1845703125,0.09871419270833333,1.1845703125,12.0
30720,0.8857421875,0.07381184895833333,0.8857421875,12.0
32768,0.7158203125,0.059651692708333336,0.7158203125,12.0
34816,0.642578125,0.053548177083333336,0.642578125,12.0
36864,0.921875,0.07682291666666667,0.921875,12.0
38912,0.6728515625,0.056070963541666664,0.6728515625,12.0
40960,0.7001953125,0.058349609375,0.7001953125,12.0
43008,0.51953125,0.043294270833333336,0.51953125,12.0
45056,0.7275390625,0.060628255208333336,0.7275390625,12.0
47104,0.9169921875,0.076416015625,0.9169921875,12.0
49152,0.8359375,0.06966145833333333,0.8359375,12.0
51200,0.93359375,0.07779947916666667,0.93359375,12.0
53248,1.3828125,0.115234375,1.3828125,12.0
55296,0.8994140625,0.074951171875,0.8994140625,12.0
57344,1.314453125,0.10953776041666667,1.314453125,12.0
59392,1.1162109375,0.093017578125,1.1162109375,12.0
61440,0.728515625,0.060709635416666664,0.728515625,12.0
63488,1.3017578125,0.10847981770833333,1.3017578125,12.0
65536,1.419921875,0.11832682291666667,1.419921875,12.0
67584,1.1025390625,0.09187825520833333,1.1025390625,12.0
69632,0.6572265625,0.054768880208333336,0.6572265625,12.0
71680,0.9658203125,0.08048502604166667,0.9658203125,12.0
73728,0.734375,0.061197916666666664,0.734375,12.0
75776,0.888671875,0.07405598958333333,0.888671875,12.0
77824,1.26171875,0.10514322916666667,1.26171875,12.0
79872,1.2685546875,0.105712890625,1.2685546875,12.0
81920,0.6513671875,0.054280598958333336,0.6513671875,12.0
83968,0.8642578125,0.072021484375,0.8642578125,12.0
86016,1.349609375,0.11246744791666667,1.349609375,12.0
88064,0.8623046875,0.07185872395833333,0.8623046875,12.0
90112,0.6845703125,0.057047526041666664,0.6845703125,12.0
92160,0.560546875,0.046712239583333336,0.560546875,12.0
94208,0.8369140625,0.06974283854166667,0.8369140625,12.0
96256,0.9951171875,0.08292643229166667,0.9951171875,12.0
98304,1.0419921875,0.08683268229166667,1.0419921875,12.0
100352,1.232421875,0.10270182291666667,1.232421875,12.0
102400,1.2568359375,0.104736328125,1.2568359375,12.0
