step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,sparse_edges,full_graph_edges,communication_ratio,loss_objective,loss_critic,loss_entropy
2048,-1.234491229057312,0.001219794386997819,-0.0048828125,0.0,0.0,0.0,0.0,0.0048828125,0.03274455666542053,0.8602044582366943,0.619140625,12.0,0.051595052083333336,-0.013656308874487877,0.1375894695520401,-0.012886252254247665
4096,-0.5912230610847473,0.010395718738436699,-0.0029296875,0.0,0.0,0.0,0.0,0.0029296875,0.07250252366065979,0.8655834197998047,0.6953125,12.0,0.057942708333333336,-0.0038376757875084877,0.16180191934108734,-0.012616237625479698
6144,0.743565022945404,0.013743673451244831,-0.000244140625,0.0,0.0,0.0,0.0,0.000244140625,0.09254243224859238,0.8600223660469055,0.8544921875,12.0,0.07120768229166667,-0.0071160756051540375,0.10302481055259705,-0.0124781783670187
8192,-0.3358546793460846,0.015930822119116783,-0.003662109375,0.0,0.0,0.0,0.0,0.003662109375,0.10883951187133789,0.8518905639648438,0.8125,12.0,0.06770833333333333,-0.0022029122337698936,0.220973402261734,-0.013022605329751968
10240,0.39077889919281006,0.018067611381411552,-0.003662109375,0.0,0.0,0.0,0.0,0.003662109375,0.1137785017490387,0.8458570241928101,1.087890625,12.0,0.09065755208333333,-0.0025747427716851234,0.1677481085062027,-0.01282029040157795
12288,0.7654520273208618,0.018675407394766808,-0.010009765625,0.0,0.0,0.0,0.0,0.010009765625,0.11756639182567596,0.8435561060905457,1.3134765625,12.0,0.10945638020833333,-0.006045732647180557,0.13976286351680756,-0.012806352227926254
14336,0.9403391480445862,0.02004171349108219,-0.005126953125,0.0,0.0,0.0,0.0,0.005126953125,0.05087956413626671,0.8322151899337769,1.1787109375,12.0,0.09822591145833333,-0.007854273542761803,0.1547175943851471,-0.012766269035637379
16384,0.018272876739501953,0.02040642872452736,-0.008544921875,0.0,0.0,0.0,0.0,0.00830078125,0.04732141271233559,0.8423069715499878,1.16796875,12.0,0.09733072916666667,-0.006158405914902687,0.2368224412202835,-0.012967530637979507
18432,0.7324316501617432,0.01914985477924347,-0.0048828125,0.0,0.0,0.0,0.0,0.0048828125,0.04830378293991089,0.8254116773605347,1.0771484375,12.0,0.08976236979166667,-0.005139954388141632,0.1784002184867859,-0.012778792530298233
20480,0.6987922787666321,0.019619472324848175,-0.005859375,0.0,0.0,0.0,0.0,0.005859375,0.06833803653717041,0.812389612197876,0.5498046875,12.0,0.045817057291666664,-0.00619993731379509,0.18767225742340088,-0.012911353260278702
22528,1.5287373065948486,0.020366109907627106,-0.006103515625,0.0,0.0,0.0,0.0,0.006103515625,0.09880584478378296,0.8260555863380432,0.9267578125,12.0,0.07722981770833333,-0.0013750679790973663,0.10762772709131241,-0.012241385877132416
24576,0.8317520618438721,0.0210244320333004,-0.0048828125,0.0,0.0,0.0,0.0,0.0048828125,0.0838756263256073,0.8178712129592896,0.5478515625,12.0,0.045654296875,-0.009173853322863579,0.1589161604642868,-0.01253857184201479
26624,0.9751733541488647,0.01689588464796543,-0.00048828125,0.0,0.0,0.0,0.0,0.00048828125,0.10243522375822067,0.8134677410125732,0.5517578125,12.0,0.045979817708333336,-0.004168695770204067,0.12374196946620941,-0.012600438669323921
28672,1.6018590927124023,0.019228391349315643,-0.004638671875,0.0,0.0,0.0,0.0,0.00439453125,0.09948772192001343,0.8137652277946472,1.1845703125,12.0,0.09871419270833333,-0.0036467835307121277,0.09061630070209503,-0.012101348489522934
30720,1.7589173316955566,0.022164391353726387,-0.001953125,0.0,0.0,0.0,0.0,0.001953125,0.1021268367767334,0.8133022785186768,0.8857421875,12.0,0.07381184895833333,-0.0017028315924108028,0.10106857120990753,-0.011947511695325375
32768,1.8986002206802368,0.021180469542741776,-0.001953125,0.0018778856610879302,0.025508575562472952,0.0,0.0,0.001953125,0.07361781597137451,0.8132885694503784,0.7158203125,12.0,0.059651692708333336,-0.006337914615869522,0.09983973205089569,-0.012167716398835182
34816,0.8303033113479614,0.021501392126083374,-0.005126953125,0.0020357216708362103,0.02304079808321778,0.0,0.0,0.005126953125,0.08835291862487793,0.7940343022346497,0.642578125,12.0,0.053548177083333336,-0.007104808464646339,0.17609277367591858,-0.012088986113667488
36864,1.337252140045166,0.01752735860645771,-0.00390625,0.0018923318712040782,0.02111915395236905,0.0,0.0,0.00390625,0.08960264921188354,0.812417209148407,0.921875,12.0,0.07682291666666667,-0.004221087321639061,0.07345504313707352,-0.012141001410782337
