step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.309203565120697,-0.0007066686521284282,-0.001708984375,0.0,0.0,0.0,0.001708984375,0.0234566330909729,0.8549503087997437,-0.007559374440461397,0.022594157606363297,-0.013111424632370472
4096,-0.8798384666442871,0.00533329276368022,-0.01220703125,0.0,0.0,0.0,0.01220703125,0.06484703719615936,0.8447824120521545,-0.004923574160784483,0.09700699895620346,-0.013195440173149109
6144,-0.6902166604995728,0.009988539852201939,-0.015380859375,0.0,0.0,0.0,0.015380859375,0.11495040357112885,0.8360764980316162,-0.003770921379327774,0.15486302971839905,-0.013090754859149456
8192,-0.8182569742202759,0.009720650501549244,-0.01611328125,0.0020317379385232925,0.017240005187868074,0.0,0.0159912109375,0.11785019189119339,0.8458075523376465,-0.0024973079562187195,0.13592970371246338,-0.012809472158551216
10240,0.8582976460456848,0.011832404881715775,-0.005126953125,0.0016750228824093938,0.010746887365337512,0.0,0.005126953125,0.15586121380329132,0.8541639447212219,-0.0076937079429626465,0.04772105813026428,-0.012389863841235638
12288,0.8586097359657288,0.014764528721570969,-0.008056640625,0.00121288001537323,0.006818271714413546,0.0,0.008056640625,0.1778867095708847,0.8521072864532471,-0.003168417140841484,0.07652309536933899,-0.012443900108337402
14336,1.0320651531219482,0.01660793088376522,-0.008544921875,0.0009080121526494622,0.004247896633148208,0.0,0.008544921875,0.21375569701194763,0.8505780100822449,-0.0031999489292502403,0.09148843586444855,-0.012214412912726402
16384,0.998591959476471,0.013660874217748642,-0.005859375,0.0008624362526461482,0.0038920557498931885,0.0,0.005859375,0.2215888500213623,0.8569464683532715,-0.005396552383899689,0.05521589517593384,-0.012363309040665627
18432,1.0255939960479736,0.015580813400447369,-0.007568359375,0.0008165107574313879,0.0039722248911857605,0.0,0.007568359375,0.2055550217628479,0.8503125905990601,0.003655940294265747,0.10809288918972015,-0.012414018623530865
20480,1.1693276166915894,0.016703732311725616,-0.007568359375,0.000621848797891289,0.004272217899560928,0.0,0.007568359375,0.14555642008781433,0.845832347869873,-0.0023382045328617096,0.09616121649742126,-0.012486959807574749
