step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-0.617798388004303,-0.003117565531283617,-0.001708984375,0.0,0.0,0.0,0.001708984375,0.015882553532719612,0.8544728755950928,-0.009199857711791992,0.017792943865060806,-0.013091628439724445
4096,-0.7340156435966492,0.004519408568739891,-0.01025390625,0.0,0.0,0.0,0.01025390625,-0.014731007628142834,0.8499431014060974,-0.00022349972277879715,0.10000304877758026,-0.013089356012642384
6144,-0.5110787153244019,0.009190792217850685,-0.01318359375,0.0,0.0,0.0,0.01318359375,0.002310176845639944,0.8461153507232666,-0.0021073557436466217,0.1236359030008316,-0.01273854449391365
8192,-1.6127952337265015,0.009860974736511707,-0.0224609375,0.0,0.0,0.0,0.022216796875,-0.015457142144441605,0.8579708337783813,-0.0020962245762348175,0.17890530824661255,-0.012926315888762474
10240,-0.13263991475105286,0.008485233411192894,-0.009521484375,0.0,0.0,0.0,0.009521484375,0.01940852403640747,0.8582513928413391,-0.007434729486703873,0.0788128599524498,-0.01308408658951521
12288,0.711937427520752,0.010933104902505875,-0.00537109375,0.0,0.0,0.0,0.00537109375,0.02547341398894787,0.8465313911437988,-0.001366741955280304,0.04637426882982254,-0.013038396835327148
14336,0.7879641652107239,0.015433313325047493,-0.00927734375,0.0,0.0,0.0,0.00927734375,0.005988198332488537,0.8399888873100281,-0.0053170062601566315,0.08269662410020828,-0.012943767942488194
16384,0.820501983165741,0.01568751409649849,-0.00927734375,0.0,0.0,0.0,0.00927734375,0.009065862745046616,0.8453415036201477,-0.006181634962558746,0.062446098774671555,-0.012851022183895111
18432,1.2797354459762573,0.016345590353012085,-0.00634765625,0.0,0.0,0.0,0.00634765625,0.0278610959649086,0.8272141218185425,-0.007936874404549599,0.07498594373464584,-0.012717729434370995
20480,1.260215401649475,0.0169255118817091,-0.007080078125,0.0,0.0,0.0,0.0068359375,0.031299494206905365,0.8264803886413574,-0.0031957216560840607,0.07883776724338531,-0.012623095884919167
22528,2.330174446105957,0.02235487848520279,-0.004150390625,2.0286326616769657e-05,0.0012500000000000002,0.0,0.004150390625,0.016229059547185898,0.8270541429519653,-0.0026885196566581726,0.06976589560508728,-0.012436584569513798
24576,0.6480053663253784,0.020443402230739594,-0.015380859375,8.772494038566947e-05,0.0025000000000000005,0.0,0.015380859375,0.03508997708559036,0.8287321329116821,-0.007046457380056381,0.14848914742469788,-0.012420699000358582
26624,1.5030796527862549,0.022973280400037766,-0.01123046875,0.00013335252879187465,0.00375,0.0,0.01123046875,0.03556067496538162,0.8297953605651855,-0.0031446702778339386,0.10018166899681091,-0.011921383440494537
28672,1.9957629442214966,0.017300881445407867,-0.001708984375,-1.5385252481792122e-05,0.005000000000000001,0.0,0.001708984375,-0.003077050670981407,0.8215587735176086,-0.0034432257525622845,0.03483538329601288,-0.012435685843229294
30720,1.788855791091919,0.022032078355550766,-0.008056640625,-3.0096380214672536e-05,0.00625,0.0,0.008056640625,-0.004815421067178249,0.8121634125709534,-0.006967926397919655,0.07765468209981918,-0.012229828163981438
32768,2.390049695968628,0.023310933262109756,-0.004638671875,-0.0001544035621918738,0.0075,0.0,0.004638671875,-0.020587142556905746,0.8111989498138428,0.0040260860696434975,0.06810079514980316,-0.01206632424145937
34816,2.2869999408721924,0.023970704525709152,-0.006103515625,-2.52427562372759e-05,0.008749999999999999,0.0,0.006103515625,-0.0028848880901932716,0.8093864321708679,-0.0022102585062384605,0.07825421541929245,-0.012143483385443687
36864,1.9389948844909668,0.021740194410085678,-0.006591796875,-3.914985791197978e-05,0.010000000000000002,0.0,0.006591796875,-0.003914985805749893,0.7911725044250488,-0.004259341396391392,0.08338568359613419,-0.012070851400494576
38912,2.3829500675201416,0.021546488627791405,-0.0029296875,-6.921106978552416e-05,0.011250000000000001,0.0,0.0029296875,-0.006152094341814518,0.7917765378952026,-0.0032361950725317,0.0441611111164093,-0.012158316560089588
40960,2.4868698120117188,0.023334920406341553,-0.00390625,-0.0004053302691318095,0.0125,0.0,0.00390625,-0.032426416873931885,0.7839561700820923,-0.0038795876316726208,0.0851641371846199,-0.011845803819596767
43008,1.9896388053894043,0.02140342816710472,-0.005859375,-7.12009787093848e-05,0.013750000000000002,0.0,0.005859375,-0.005178253166377544,0.7920751571655273,-0.00127316452562809,0.09368105232715607,-0.012228806503117085
45056,2.8445687294006348,0.02490874007344246,-0.002685546875,-0.00032642841688357294,0.015,0.0,0.002685546875,-0.02176189422607422,0.7882119417190552,-0.0015446152538061142,0.06513188779354095,-0.012050998397171497
47104,2.813958168029785,0.022960610687732697,-0.0009765625,-0.0005657095462083817,0.01625,0.0,0.0009765625,-0.034812893718481064,0.7896341681480408,-0.0028644483536481857,0.07122159749269485,-0.012192213907837868
49152,3.3395614624023438,0.02902001142501831,-0.0029296875,4.267392432666384e-05,0.017499999999999998,0.0,0.0029296875,0.002438511233776808,0.7981558442115784,-0.00236649252474308,0.06300760805606842,-0.011894616298377514
51200,2.756929397583008,0.02324749529361725,-0.001708984375,6.126909283921123e-05,0.018750000000000003,0.0,0.001708984375,0.003267684020102024,0.7916465997695923,-0.003122907131910324,0.06665576994419098,-0.012176611460745335
53248,3.187330722808838,0.025877580046653748,-0.0009765625,-0.0003633655433077365,0.020000000000000004,0.0,0.0009765625,-0.01816827803850174,0.7781484127044678,0.0013307780027389526,0.06489165127277374,-0.012044625356793404
55296,2.7755918502807617,0.02339329570531845,-0.001708984375,0.0005043637938797474,0.02125,0.0,0.001708984375,0.023734766989946365,0.7701394557952881,-0.001381666399538517,0.08691925555467606,-0.01188705675303936
57344,2.9624805450439453,0.025829924270510674,-0.002685546875,0.000562861212529242,0.022500000000000003,0.0,0.002685546875,0.02501605451107025,0.7838686108589172,-0.0026431381702423096,0.07176762819290161,-0.011369438841938972
59392,2.9840986728668213,0.02551053836941719,-0.002197265625,0.00042097095865756273,0.02375,0.0,0.002197265625,0.01772509329020977,0.7740038633346558,0.0013433159328997135,0.07481622695922852,-0.011604709550738335
61440,2.8129143714904785,0.023440733551979065,-0.00146484375,0.0010875246953219175,0.025,0.0,0.00146484375,0.04350098595023155,0.7729583978652954,-0.0057847872376441956,0.059832628816366196,-0.011624360457062721
63488,2.688350200653076,0.021979298442602158,-0.0009765625,0.0013566019479185343,0.026250000000000002,0.0,0.0009765625,0.051680080592632294,0.7668859958648682,-7.554423063993454e-06,0.0599866583943367,-0.011447882279753685
65536,2.8550209999084473,0.022793132811784744,-0.00048828125,0.0020832435693591833,0.027500000000000004,0.0,0.00048828125,0.075754314661026,0.7686664462089539,-0.0013879258185625076,0.04947960749268532,-0.011351022869348526
67584,2.4820284843444824,0.02183225378394127,-0.00244140625,0.0017974376678466797,0.028749999999999998,0.0,0.00244140625,0.06251956522464752,0.7708306312561035,-0.0055452086962759495,0.045544445514678955,-0.011517899110913277
69632,2.1690139770507812,0.01743370294570923,-0.00048828125,0.003242188598960638,0.03,0.0,0.00048828125,0.10807295143604279,0.7732616662979126,-0.002316432073712349,0.037797097116708755,-0.011433491483330727
71680,2.372889757156372,0.020003044977784157,-0.00146484375,0.002560429275035858,0.03125,0.0,0.00146484375,0.08193373680114746,0.7673453092575073,-0.004584126174449921,0.04667600989341736,-0.011754017323255539
73728,2.2546558380126953,0.017858639359474182,-0.000244140625,0.0039050127379596233,0.0325,0.0,0.000244140625,0.1201542466878891,0.769799530506134,-0.0025357063859701157,0.031392719596624374,-0.011186018586158752
75776,2.057476043701172,0.017050590366125107,-0.0009765625,0.004589557647705078,0.03375,0.0,0.0009765625,0.13598687946796417,0.7604367733001709,-0.0011992854997515678,0.042195335030555725,-0.011612309142947197
77824,2.22174334526062,0.018578073009848595,-0.001220703125,0.0038568349555134773,0.034999999999999996,0.0,0.001220703125,0.11019527912139893,0.7623785734176636,-0.002137603238224983,0.02998877689242363,-0.011257633566856384
79872,1.5461159944534302,0.013543875887989998,-0.00146484375,0.005674594081938267,0.03625,0.0,0.00146484375,0.15654051303863525,0.7561821937561035,-0.0076605454087257385,0.044903602451086044,-0.011291803792119026
81920,1.7564551830291748,0.015187151730060577,-0.00146484375,0.00587582029402256,0.037500000000000006,0.0,0.00146484375,0.15668854117393494,0.7478457689285278,-0.00355442613363266,0.04161480814218521,-0.011457844637334347
