step,action_alignment,reward_guide
2048,0.00919028464704752,0.0009190284181386232
4096,-0.031321700662374496,-0.0031321700662374496
6144,0.0075765326619148254,0.0007576532661914825
8192,-0.007965493947267532,-0.0007965494878590107
10240,-0.0421745628118515,-0.004217456094920635
12288,-0.039582766592502594,-0.0039582764729857445
14336,-0.044739529490470886,-0.004473952576518059
16384,-0.04649270325899124,-0.004649270325899124
18432,-0.06266787648200989,-0.006266786716878414
20480,-0.0692051351070404,-0.0069205136969685555
22528,-0.06841674447059631,-0.006841674447059631
24576,-0.06937925517559052,-0.006937926169484854
26624,-0.07801134884357452,-0.007801135070621967
28672,-0.08461378514766693,-0.008461378514766693
30720,-0.10095468163490295,-0.010095467790961266
32768,-0.10815203934907913,-0.010815203189849854
34816,-0.1153610572218895,-0.01153610646724701
36864,-0.10582277178764343,-0.010582277551293373
38912,-0.09081926941871643,-0.009081927128136158
40960,-0.10180851072072983,-0.010180851444602013
43008,-0.11079065501689911,-0.011079065501689911
45056,-0.1130601093173027,-0.011306011117994785
47104,-0.1482786238193512,-0.01482786238193512
49152,-0.13845738768577576,-0.013845739886164665
51200,-0.15304900705814362,-0.015304900705814362
53248,-0.1284690797328949,-0.012846908532083035
55296,-0.11661459505558014,-0.011661459691822529
57344,-0.09480249881744385,-0.0094802500680089
59392,-0.09839440882205963,-0.009839439764618874
61440,-0.09582056850194931,-0.00958205759525299
63488,-0.102655328810215,-0.0102655328810215
65536,-0.10695680230855942,-0.010695680975914001
67584,-0.10125964879989624,-0.010125964879989624
69632,-0.10630548000335693,-0.010630548000335693
71680,-0.1373070925474167,-0.013730709441006184
73728,-0.14141426980495453,-0.014141427353024483
75776,-0.1275089681148529,-0.012750896625220776
77824,-0.1216057538986206,-0.01216057501733303
79872,-0.11297720670700073,-0.011297721415758133
81920,-0.10377542674541473,-0.010377543047070503
83968,-0.08104193955659866,-0.008104193955659866
86016,-0.09850919246673584,-0.009850919246673584
88064,-0.10716155916452408,-0.010716156102716923
90112,-0.11937819421291351,-0.011937819421291351
92160,-0.09253279864788055,-0.009253280237317085
94208,-0.10401271283626556,-0.010401271283626556
96256,-0.10723375529050827,-0.010723375715315342
98304,-0.09639644622802734,-0.009639644995331764
100352,-0.08523191511631012,-0.008523191325366497
102400,-0.06201617419719696,-0.006201617419719696
