step,communication_cost,communication_ratio
2048,6.0,1.0
4096,6.0,1.0
6144,6.0,1.0
8192,6.0,1.0
10240,6.0,1.0
12288,6.0,1.0
14336,6.0,1.0
16384,6.0,1.0
18432,6.0,1.0
20480,6.0,1.0
22528,6.0,1.0
24576,6.0,1.0
26624,6.0,1.0
28672,6.0,1.0
30720,6.0,1.0
32768,6.0,1.0
34816,6.0,1.0
36864,6.0,1.0
38912,6.0,1.0
40960,6.0,1.0
43008,6.0,1.0
45056,6.0,1.0
47104,6.0,1.0
49152,6.0,1.0
51200,6.0,1.0
53248,6.0,1.0
55296,6.0,1.0
57344,6.0,1.0
59392,6.0,1.0
61440,6.0,1.0
63488,6.0,1.0
65536,6.0,1.0
67584,6.0,1.0
69632,6.0,1.0
71680,6.0,1.0
73728,6.0,1.0
75776,6.0,1.0
77824,6.0,1.0
79872,6.0,1.0
81920,6.0,1.0
83968,6.0,1.0
86016,6.0,1.0
88064,6.0,1.0
90112,6.0,1.0
92160,6.0,1.0
94208,6.0,1.0
96256,6.0,1.0
98304,6.0,1.0
100352,6.0,1.0
102400,6.0,1.0
