step,episode_reward_mean,reward_goal,reward_collision,reward_guide,guidance_lambda,residual_beta,success_rate,collision_rate,action_alignment,path_length,loss_objective,loss_critic,loss_entropy
2048,-1.2935494184494019,-0.006443744525313377,-0.003662109375,0.0002325876266695559,0.1,0.1,0.0,0.003662109375,0.0023258759174495935,0.854891836643219,-0.004131749272346497,0.04979894682765007,-0.013060512952506542
4096,-1.192738652229309,0.0009356369264423847,-0.01025390625,-0.00351534690707922,0.1,0.2,0.0,0.0101318359375,-0.03515346720814705,0.8509644865989685,-0.0005633668042719364,0.08852580934762955,-0.013116047717630863
6144,-2.0394809246063232,0.004086087457835674,-0.02001953125,-0.003913619089871645,0.1,0.3,0.0,0.019775390625,-0.039136189967393875,0.8394042253494263,-0.0033533908426761627,0.22147983312606812,-0.01306106522679329
8192,-0.8107690215110779,0.010023287497460842,-0.016357421875,-0.004775971174240112,0.1,0.4,0.0,0.016357421875,-0.04775971174240112,0.8510230183601379,-0.00383632630109787,0.13933074474334717,-0.013043785467743874
10240,0.26029470562934875,0.009113630279898643,-0.007080078125,-0.002313741482794285,0.1,0.5,0.0,0.007080078125,-0.0231374129652977,0.8540568947792053,-0.010653935372829437,0.0698360949754715,-0.012983342632651329
12288,1.056320309638977,0.012158753350377083,-0.00390625,-0.0032224911265075207,0.1,0.6,0.0,0.00390625,-0.03222490847110748,0.8431261777877808,-0.008769332431256771,0.03470960259437561,-0.012943955138325691
14336,1.407691240310669,0.01905423030257225,-0.008056640625,-0.002406350104138255,0.1,0.7,0.0,0.008056640625,-0.02406349964439869,0.832311749458313,-0.006665538996458054,0.0847039669752121,-0.01292475126683712
16384,0.9647235870361328,0.018034949898719788,-0.010498046875,-0.006515044718980789,0.1,0.8,0.0,0.010498046875,-0.06515044718980789,0.8335444331169128,-0.008898016065359116,0.08275237679481506,-0.012788480147719383
18432,1.9560879468917847,0.018211625516414642,-0.0029296875,-0.007566025480628014,0.1,0.9,0.0,0.0029296875,-0.07566025108098984,0.8347798585891724,0.0021138228476047516,0.06869759410619736,-0.012589587830007076
20480,1.6688200235366821,0.018652891740202904,-0.005615234375,-0.011017713695764542,0.1,1.0,0.0,0.005615234375,-0.11017712950706482,0.8440585732460022,0.0019446555525064468,0.062327928841114044,-0.012457511387765408
22528,2.3383665084838867,0.021442316472530365,-0.003173828125,-0.008255669847130775,0.1,0.9277434863285529,0.0,0.003173828125,-0.08255667984485626,0.8410038948059082,-0.0035600028932094574,0.06578288972377777,-0.012372688390314579
24576,0.7339701652526855,0.020870860666036606,-0.01513671875,-0.01101178489625454,0.1,0.8607079764250578,0.0,0.014892578125,-0.1101178526878357,0.834394097328186,-0.0034928121604025364,0.19557806849479675,-0.012501788325607777
26624,1.8229148387908936,0.021809883415699005,-0.007568359375,-0.009027143940329552,0.1,0.7985162187593771,0.0,0.007568359375,-0.09027144312858582,0.8354005813598633,-0.001823553815484047,0.09378303587436676,-0.012054375372827053
28672,1.9085907936096191,0.01661984995007515,-0.001708984375,-0.009950906038284302,0.1,0.7408182206817179,0.0,0.001708984375,-0.09950904548168182,0.8300591707229614,0.0018445942550897598,0.04850320518016815,-0.012421563267707825
30720,1.7663297653198242,0.022100232541561127,-0.00830078125,-0.010665370151400566,0.1,0.6872892787909722,0.0,0.0081787109375,-0.10665369778871536,0.8320090174674988,-0.0028118686750531197,0.10642439126968384,-0.012500057928264141
32768,2.2291839122772217,0.020345184952020645,-0.0029296875,-0.006803140044212341,0.1,0.6376281516217733,0.0,0.0029296875,-0.06803139299154282,0.8293420076370239,-0.0012034783139824867,0.067305788397789,-0.012323910370469093
34816,2.383399248123169,0.023503119125962257,-0.0048828125,-0.01119973137974739,0.1,0.5915553643668151,0.0,0.0048828125,-0.1119973212480545,0.8220771551132202,-0.003083749208599329,0.07982105761766434,-0.012436128221452236
36864,2.5260541439056396,0.02364104986190796,-0.00390625,-0.012054085731506348,0.1,0.5488116360940264,0.0,0.00390625,-0.12054086476564407,0.8217577338218689,-0.00599074549973011,0.07483084499835968,-0.012228138744831085
