step,communication_cost,communication_ratio,sparse_edges,full_graph_edges
2048,6.447265625,0.11512974330357142,6.447265625,56.0
4096,6.5224609375,0.11647251674107142,6.5224609375,56.0
6144,7.2177734375,0.12888881138392858,7.2177734375,56.0
8192,6.2529296875,0.11165945870535714,6.2529296875,56.0
10240,6.2783203125,0.11211286272321429,6.2783203125,56.0
12288,5.5673828125,0.09941755022321429,5.5673828125,56.0
14336,6.4462890625,0.1151123046875,6.4462890625,56.0
16384,7.0,0.125,7.0,56.0
18432,7.8017578125,0.13931710379464285,7.8017578125,56.0
20480,9.1640625,0.16364397321428573,9.1640625,56.0
22528,11.4375,0.20424107142857142,11.4375,56.0
24576,9.0390625,0.16141183035714285,9.0390625,56.0
26624,11.275390625,0.20134626116071427,11.275390625,56.0
28672,12.1298828125,0.21660505022321427,12.1298828125,56.0
30720,7.4638671875,0.13328334263392858,7.4638671875,56.0
32768,9.34765625,0.16692243303571427,9.34765625,56.0
34816,11.279296875,0.201416015625,11.279296875,56.0
36864,10.283203125,0.18362862723214285,10.283203125,56.0
38912,7.833984375,0.139892578125,7.833984375,56.0
40960,8.9345703125,0.1595458984375,8.9345703125,56.0
43008,9.7685546875,0.1744384765625,9.7685546875,56.0
45056,12.4052734375,0.22152273995535715,12.4052734375,56.0
47104,8.4736328125,0.15131487165178573,8.4736328125,56.0
49152,8.7373046875,0.15602329799107142,8.7373046875,56.0
51200,10.5458984375,0.18831961495535715,10.5458984375,56.0
53248,9.5380859375,0.17032296316964285,9.5380859375,56.0
55296,10.736328125,0.19172014508928573,10.736328125,56.0
57344,11.3154296875,0.20206124441964285,11.3154296875,56.0
59392,11.22265625,0.20040457589285715,11.22265625,56.0
61440,10.9931640625,0.19630650111607142,10.9931640625,56.0
63488,10.8154296875,0.19313267299107142,10.8154296875,56.0
65536,11.005859375,0.196533203125,11.005859375,56.0
67584,12.826171875,0.22903878348214285,12.826171875,56.0
69632,10.720703125,0.19144112723214285,10.720703125,56.0
71680,9.9462890625,0.1776123046875,9.9462890625,56.0
73728,12.9189453125,0.23069545200892858,12.9189453125,56.0
75776,9.2841796875,0.16578892299107142,9.2841796875,56.0
77824,11.2705078125,0.20125906808035715,11.2705078125,56.0
79872,9.4677734375,0.1690673828125,9.4677734375,56.0
81920,9.20703125,0.16441127232142858,9.20703125,56.0
83968,9.82421875,0.17543247767857142,9.82421875,56.0
86016,12.6708984375,0.22626604352678573,12.6708984375,56.0
88064,9.4287109375,0.16836983816964285,9.4287109375,56.0
90112,11.150390625,0.19911411830357142,11.150390625,56.0
92160,9.525390625,0.17009626116071427,9.525390625,56.0
94208,10.3681640625,0.18514578683035715,10.3681640625,56.0
96256,10.328125,0.18443080357142858,10.328125,56.0
98304,10.4775390625,0.18709891183035715,10.4775390625,56.0
100352,9.9736328125,0.1781005859375,9.9736328125,56.0
102400,9.2587890625,0.16533551897321427,9.2587890625,56.0
